dominio,variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Sociodemográfico,FaixaEtaria,FaixaEtaria: 06.25 a 29 anos,Confirmação,5944,156,133,3339,2316,0.8135703139249741,0.6416967925839315,1.0314788282402196,0.09794337343716335,p=0.0979: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 05.20 a 24 anos,Óbito por meningite,5944,17,258,378,5291,0.9223063040892499,0.5584276333982373,1.5232930243552967,0.9011271780352351,p=0.9011: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 05.20 a 24 anos,Internação/hospitalização,5944,245,30,5140,529,0.8404993514915694,0.5693267309286782,1.240832586071296,0.39650203717127264,p=0.3965: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 05.20 a 24 anos,Confirmação,5944,164,111,3331,2338,1.0370286227386198,0.8103593801559835,1.3271005318308933,0.8020463129045454,p=0.8020: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 07.30 a 34 anos,Óbito por meningite,5944,18,256,377,5293,0.9871725795755968,0.6052349490407434,1.610134549253096,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 07.30 a 34 anos,Internação/hospitalização,5944,258,16,5127,543,1.707796957284962,1.0228065318405068,2.8515367828786764,0.0431576540623772,p=0.0432: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 07.30 a 34 anos,Confirmação,5944,174,100,3321,2349,1.2307317073170732,0.956993300346339,1.5827702606145966,0.11608730239544197,p=0.1161: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 09.40 a 44 anos,Óbito por meningite,5944,22,230,373,5319,1.3640051288028907,0.8698805781510274,2.138810818555339,0.19415916968863628,p=0.1942: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 09.40 a 44 anos,Internação/hospitalização,5944,233,19,5152,540,1.2853465184700883,0.7985717760122629,2.0688380458337248,0.37659653709322094,p=0.3766: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,FaixaEtaria,FaixaEtaria: 09.40 a 44 anos,Confirmação,5944,173,79,3322,2370,1.5623118603251054,1.1910714404595448,2.0492627612418977,0.001061330823169469,p=0.0011: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
