regional_v17,classificacao_agrupada_v17,vacina,campo_vacinal,status,motivo,n_registros_no_estrato,registros_com_campo_vacinal
AGUA BOA,Doença meningocócica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Doença meningocócica.",8,5
AGUA BOA,Doença meningocócica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Doença meningocócica.",8,3
AGUA BOA,Doença meningocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Doença meningocócica.",8,3
AGUA BOA,Doença meningocócica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",8,2
AGUA BOA,Doença meningocócica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",8,1
AGUA BOA,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,1
AGUA BOA,Meningite bacteriana/outras bactérias,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite bacteriana/outras bactérias.",8,1
AGUA BOA,Meningite bacteriana/outras bactérias,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite fúngica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite fúngica.",1,0
AGUA BOA,Meningite não especificada,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite não especificada.",15,8
AGUA BOA,Meningite não especificada,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite não especificada.",15,8
AGUA BOA,Meningite não especificada,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite não especificada.",15,9
AGUA BOA,Meningite não especificada,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite não especificada.",15,6
AGUA BOA,Meningite por Hib/Hemófilo,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite por Hib/Hemófilo.",2,0
AGUA BOA,Meningite por Hib/Hemófilo,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite por Hib/Hemófilo.",2,0
AGUA BOA,Meningite por Hib/Hemófilo,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite por Hib/Hemófilo.",2,0
AGUA BOA,Meningite tuberculosa,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite tuberculosa,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite tuberculosa,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite tuberculosa,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite tuberculosa,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite tuberculosa,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite tuberculosa,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite tuberculosa.",2,1
AGUA BOA,Meningite viral/asséptica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,2
AGUA BOA,Meningite viral/asséptica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,2
AGUA BOA,Meningite viral/asséptica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,2
AGUA BOA,Meningite viral/asséptica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,2
AGUA BOA,Meningite viral/asséptica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,2
AGUA BOA,Meningite viral/asséptica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,1
AGUA BOA,Meningite viral/asséptica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,2
AGUA BOA,Meningite viral/asséptica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,6,1
AGUA BOA,Outras etiologias,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Outras etiologias.",73,22
AGUA BOA,Outras etiologias,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Outras etiologias.",73,22
AGUA BOA,Outras etiologias,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Outras etiologias.",73,24
AGUA BOA,Outras etiologias,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Outras etiologias.",73,25
AGUA BOA,Outras etiologias,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Outras etiologias.",73,20
AGUA BOA,Outras etiologias,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Outras etiologias.",73,21
AGUA BOA,Outras etiologias,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Outras etiologias.",73,20
AGUA BOA,Outras etiologias,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Outras etiologias.",73,13
ALTA FLORESTA,Doença meningocócica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Doença meningocócica.",11,8
ALTA FLORESTA,Doença meningocócica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Doença meningocócica.",11,7
ALTA FLORESTA,Doença meningocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Doença meningocócica.",11,7
ALTA FLORESTA,Doença meningocócica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",11,8
ALTA FLORESTA,Doença meningocócica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",11,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite bacteriana/outras bactérias.",8,5
ALTA FLORESTA,Meningite bacteriana/outras bactérias,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite bacteriana/outras bactérias.",8,6
ALTA FLORESTA,Meningite fúngica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite fúngica.",3,3
ALTA FLORESTA,Meningite fúngica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite fúngica.",3,3
ALTA FLORESTA,Meningite fúngica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite fúngica.",3,3
ALTA FLORESTA,Meningite fúngica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite fúngica.",3,2
ALTA FLORESTA,Meningite fúngica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite fúngica.",3,2
ALTA FLORESTA,Meningite fúngica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite fúngica.",3,3
ALTA FLORESTA,Meningite fúngica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite fúngica.",3,2
ALTA FLORESTA,Meningite fúngica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite fúngica.",3,2
ALTA FLORESTA,Meningite não especificada,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite não especificada.",38,21
ALTA FLORESTA,Meningite não especificada,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite não especificada.",38,20
ALTA FLORESTA,Meningite não especificada,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite não especificada.",38,23
ALTA FLORESTA,Meningite não especificada,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite não especificada.",38,24
ALTA FLORESTA,Meningite não especificada,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite não especificada.",38,19
ALTA FLORESTA,Meningite não especificada,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite não especificada.",38,18
ALTA FLORESTA,Meningite não especificada,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite não especificada.",38,19
ALTA FLORESTA,Meningite não especificada,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite não especificada.",38,10
ALTA FLORESTA,Meningite pneumocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite pneumocócica.",4,2
ALTA FLORESTA,Meningite pneumocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite pneumocócica.",4,2
ALTA FLORESTA,Meningite pneumocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite pneumocócica.",4,2
ALTA FLORESTA,Meningite pneumocócica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite pneumocócica.",4,2
ALTA FLORESTA,Meningite pneumocócica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite pneumocócica.",4,2
ALTA FLORESTA,Meningite pneumocócica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite pneumocócica.",4,1
ALTA FLORESTA,Meningite pneumocócica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite pneumocócica.",4,1
ALTA FLORESTA,Meningite tuberculosa,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite tuberculosa,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite tuberculosa,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite tuberculosa,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite tuberculosa,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite tuberculosa,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite tuberculosa,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite tuberculosa.",1,1
ALTA FLORESTA,Meningite viral/asséptica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,4
ALTA FLORESTA,Meningite viral/asséptica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,4
ALTA FLORESTA,Meningite viral/asséptica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,4
ALTA FLORESTA,Meningite viral/asséptica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,5
ALTA FLORESTA,Meningite viral/asséptica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,5
ALTA FLORESTA,Meningite viral/asséptica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,4
ALTA FLORESTA,Meningite viral/asséptica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,5
ALTA FLORESTA,Meningite viral/asséptica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,Não há vacina correspondente para esta classificação; viral/asséptica não entra em EV vacinal.,8,4
ALTA FLORESTA,Outras etiologias,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Outras etiologias.",47,16
ALTA FLORESTA,Outras etiologias,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Outras etiologias.",47,16
ALTA FLORESTA,Outras etiologias,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Outras etiologias.",47,18
ALTA FLORESTA,Outras etiologias,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Outras etiologias.",47,19
ALTA FLORESTA,Outras etiologias,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Outras etiologias.",47,15
ALTA FLORESTA,Outras etiologias,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Outras etiologias.",47,14
ALTA FLORESTA,Outras etiologias,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Outras etiologias.",47,16
ALTA FLORESTA,Outras etiologias,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Outras etiologias.",47,13
BARRA DO GARCAS,Doença meningocócica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Doença meningocócica.",18,5
BARRA DO GARCAS,Doença meningocócica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Doença meningocócica.",18,5
BARRA DO GARCAS,Doença meningocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Doença meningocócica.",18,5
BARRA DO GARCAS,Doença meningocócica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",18,3
BARRA DO GARCAS,Doença meningocócica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",18,4
BARRA DO GARCAS,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,4
BARRA DO GARCAS,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,4
BARRA DO GARCAS,Meningite bacteriana/outras bactérias,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,4
