estrato,periodo,observado,previsto,erro_abs,erro_pct
REGIONAL::JUARA,2026-S28,0.0,0.0625,0.0625,
REGIONAL::JUARA,2026-S29,0.0,0.03125,0.03125,
REGIONAL::JUARA,2026-S30,0.0,0.03125,0.03125,
REGIONAL::JUARA,2026-S31,0.0,0.0,0.0,
REGIONAL::JUINA,2026-S24,0.0,0.26875000000000004,0.26875000000000004,
REGIONAL::JUINA,2026-S25,0.0,0.15625,0.15625,
REGIONAL::JUINA,2026-S26,0.0,0.09375,0.09375,
REGIONAL::JUINA,2026-S27,2.0,0.09375,1.90625,95.3125
REGIONAL::JUINA,2026-S28,0.0,0.5833333333333333,0.5833333333333333,
REGIONAL::JUINA,2026-S29,0.0,0.4520833333333333,0.4520833333333333,
REGIONAL::JUINA,2026-S30,0.0,0.3208333333333333,0.3208333333333333,
REGIONAL::JUINA,2026-S31,0.0,0.22083333333333333,0.22083333333333333,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S24,0.0,0.16041666666666665,0.16041666666666665,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S25,0.0,0.11041666666666666,0.11041666666666666,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S26,0.0,0.28125,0.28125,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S27,0.0,0.03125,0.03125,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S28,0.0,0.03125,0.03125,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S29,0.0,0.03125,0.03125,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S30,0.0,0.0,0.0,
REGIONAL::PEIXOTO DE AZEVEDO,2026-S31,0.0,0.0,0.0,
REGIONAL::PONTES E LACERDA,2026-S24,1.0,1.0,0.0,0.0
REGIONAL::PONTES E LACERDA,2026-S25,0.0,1.0104166666666665,1.0104166666666665,
REGIONAL::PONTES E LACERDA,2026-S26,1.0,0.21041666666666664,0.7895833333333333,78.95833333333333
REGIONAL::PONTES E LACERDA,2026-S27,0.0,0.4208333333333333,0.4208333333333333,
REGIONAL::PONTES E LACERDA,2026-S28,0.0,0.3208333333333333,0.3208333333333333,
REGIONAL::PONTES E LACERDA,2026-S29,0.0,0.15833333333333333,0.15833333333333333,
REGIONAL::PONTES E LACERDA,2026-S30,0.0,0.125,0.125,
REGIONAL::PONTES E LACERDA,2026-S31,0.0,0.0625,0.0625,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S24,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S25,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S26,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S27,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S28,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S29,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S30,0.0,0.0,0.0,
REGIONAL::PORTO ALEGRE DO NORTE,2026-S31,0.0,0.0,0.0,
REGIONAL::RONDONOPOLIS,2026-S24,1.0,0.4708333333333332,0.5291666666666668,52.91666666666668
REGIONAL::RONDONOPOLIS,2026-S25,1.0,0.6312499999999999,0.36875000000000013,36.875000000000014
REGIONAL::RONDONOPOLIS,2026-S26,0.0,0.7416666666666665,0.7416666666666665,
REGIONAL::RONDONOPOLIS,2026-S27,0.0,0.47916666666666663,0.47916666666666663,
REGIONAL::RONDONOPOLIS,2026-S28,0.0,0.5,0.5,
REGIONAL::RONDONOPOLIS,2026-S29,0.0,0.1875,0.1875,
REGIONAL::RONDONOPOLIS,2026-S30,0.0,0.125,0.125,
REGIONAL::RONDONOPOLIS,2026-S31,0.0,0.09375,0.09375,
REGIONAL::SINOP,2026-S24,1.0,1.2979166666666666,0.2979166666666666,29.79166666666666
REGIONAL::SINOP,2026-S25,2.0,0.9437499999999999,1.0562500000000001,52.81250000000001
REGIONAL::SINOP,2026-S26,0.0,1.7041666666666666,1.7041666666666666,
REGIONAL::SINOP,2026-S27,1.0,0.8624999999999999,0.13750000000000007,13.750000000000007
REGIONAL::SINOP,2026-S28,0.0,0.9166666666666665,0.9166666666666665,
REGIONAL::SINOP,2026-S29,0.0,0.40625,0.40625,
REGIONAL::SINOP,2026-S30,0.0,0.28125,0.28125,
REGIONAL::SINOP,2026-S31,0.0,0.25,0.25,
REGIONAL::TANGARA DA SERRA,2026-S24,0.0,0.28125,0.28125,
REGIONAL::TANGARA DA SERRA,2026-S25,1.0,0.53125,0.46875,46.875
REGIONAL::TANGARA DA SERRA,2026-S26,0.0,0.5270833333333332,0.5270833333333332,
REGIONAL::TANGARA DA SERRA,2026-S27,0.0,0.3020833333333333,0.3020833333333333,
REGIONAL::TANGARA DA SERRA,2026-S28,0.0,0.125,0.125,
REGIONAL::TANGARA DA SERRA,2026-S29,0.0,0.14166666666666666,0.14166666666666666,
REGIONAL::TANGARA DA SERRA,2026-S30,0.0,0.0625,0.0625,
REGIONAL::TANGARA DA SERRA,2026-S31,0.0,0.03125,0.03125,
