criterio_confirmacao,n,percentual
*Em Branco,2458,41.35262449528937
Quimiocitológico do líquor,1873,31.510767160161507
Cultura,495,8.32772543741588
Clínico,381,6.409825033647376
Bacterioscopia,231,3.886271870794078
Outros,159,2.6749663526244953
Ag. Látex,144,2.4226110363391657
PCR,103,1.7328398384925974
Clínico-epidemiológico,93,1.5646029609690442
Isolamento viral,6,0.1009421265141319
CIE,1,0.016823687752355317
