familia,indicador,escopo,recorte,valor,numerador,denominador,unidade,gerado_em
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,PONTES E LACERDA,2.0,,122,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,PONTES E LACERDA,13.0,,122,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,PORTO ALEGRE DO NORTE,23.52941176470588,8.0,34,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,PORTO ALEGRE DO NORTE,32.35294117647059,11.0,34,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,PORTO ALEGRE DO NORTE,4.5,,34,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,PORTO ALEGRE DO NORTE,15.099999999999998,,34,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,RONDONOPOLIS,43.15245478036176,334.0,774,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,RONDONOPOLIS,55.68475452196382,431.0,774,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,RONDONOPOLIS,2.0,,774,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,RONDONOPOLIS,10.700000000000045,,774,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,SAO FELIX DO ARAGUAIA,66.66666666666666,2.0,3,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,SAO FELIX DO ARAGUAIA,100.0,3.0,3,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,SAO FELIX DO ARAGUAIA,1.0,,3,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,SAO FELIX DO ARAGUAIA,1.8,,3,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,SINOP,41.86351706036746,319.0,762,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,SINOP,58.79265091863517,448.0,762,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,SINOP,2.0,,762,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,SINOP,9.0,,762,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,TANGARA DA SERRA,44.59016393442623,136.0,305,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,TANGARA DA SERRA,59.34426229508196,181.0,305,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,TANGARA DA SERRA,2.0,,305,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,TANGARA DA SERRA,7.0,,305,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,1966,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,1966,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,1966,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,1966,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,1975,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,1975,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,1975,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,1975,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,1976,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,1976,,0.0,0,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,1976,,,0,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,1976,,,0,dias,2026-07-29T12:37:49
