faixa_informe_v23,peso_padrao
< 1 ano,0.1582260371959943
1 a 4 anos,0.15336194563662375
5 a 9 anos,0.13762517882689557
10 a 14 anos,0.08612303290414879
15 a 19 anos,0.053791130185979974
20 a 29 anos,0.09155937052932761
30 a 39 anos,0.10357653791130186
40 a 49 anos,0.09470672389127324
50 a 59 anos,0.058655221745350504
> 60 anos,0.06237482117310444
