ano,semana_epi,classificacao_agrupada_v17,casos,confirmados,obitos,hospitalizacoes,obitos_lt_7d,letalidade_pct,pct_hospitalizacao,pct_gravidade_proxy
2026,28,Outras etiologias,1,0,0,1,0,0.0,100.0,100.0
2026,28,TOTAL,1,0,0,1,0,0.0,100.0,100.0
