ano_evento_v17,total_notificacoes,pct_confirmacao_laboratorial_pcr_cultura,pct_confirmacao_laboratorial_caderno,pct_investigados_48h,pct_encerrados_60d,pct_quimioprofilaxia_dm_48h,pct_sorogrupo_identificado_dm,pct_notificacao_24h,dm_casos
1966,1,,,100.0,100.0,,,0.0,0
1975,1,,,100.0,0.0,,,0.0,0
1976,1,,,100.0,100.0,,,0.0,0
1980,1,,,100.0,0.0,,,0.0,0
2000,1,,,100.0,0.0,,,0.0,0
2002,1,,,100.0,100.0,,,0.0,0
2004,1,,,100.0,0.0,,,0.0,0
2006,8,0.0,100.0,87.5,87.5,,,0.0,0
2007,663,37.5,56.94444444444444,95.62594268476622,79.33634992458522,47.05882352941176,17.647058823529413,41.93061840120664,17
2008,441,46.15384615384615,61.53846153846154,93.42403628117914,80.27210884353741,44.44444444444444,44.44444444444444,40.0,9
2009,366,39.473684210526315,51.31578947368421,91.53005464480874,77.04918032786885,50.0,27.27272727272727,32.32876712328767,22
2010,308,33.33333333333333,52.17391304347826,93.18181818181817,85.71428571428571,66.66666666666666,20.833333333333336,33.44155844155844,24
2011,343,38.38383838383838,56.56565656565656,94.16909620991254,88.62973760932945,62.06896551724138,44.827586206896555,25.146198830409354,29
2012,338,34.78260869565217,55.434782608695656,92.01183431952663,89.3491124260355,57.89473684210527,44.73684210526316,27.596439169139465,38
2013,359,42.5287356321839,65.51724137931035,92.75766016713092,85.79387186629526,58.82352941176471,35.294117647058826,29.05027932960894,34
2014,345,47.69230769230769,61.53846153846154,95.65217391304348,86.37681159420289,44.44444444444444,44.44444444444444,29.855072463768117,18
2015,270,37.5,51.78571428571429,90.37037037037037,82.96296296296296,58.82352941176471,35.294117647058826,25.650557620817843,17
2016,291,21.428571428571427,33.33333333333333,92.09621993127148,82.81786941580756,45.45454545454545,18.181818181818183,30.103806228373703,11
2017,310,38.775510204081634,48.97959183673469,95.80645161290322,90.0,78.57142857142857,42.857142857142854,27.09677419354839,14
2018,287,35.55555555555556,37.77777777777778,94.42508710801394,88.50174216027874,50.0,0.0,27.719298245614034,10
2019,246,64.58333333333334,64.58333333333334,95.52845528455285,87.8048780487805,66.66666666666666,0.0,28.688524590163933,6
2020,118,69.56521739130434,69.56521739130434,95.76271186440678,79.66101694915254,66.66666666666666,0.0,27.11864406779661,3
2021,99,73.68421052631578,73.68421052631578,90.9090909090909,67.67676767676768,0.0,0.0,18.75,4
2022,191,42.30769230769231,42.30769230769231,92.67015706806284,73.82198952879581,25.0,0.0,21.052631578947366,4
2023,268,58.82352941176471,58.82352941176471,93.28358208955224,83.5820895522388,28.57142857142857,0.0,23.970037453183522,7
2024,267,72.5,72.5,92.13483146067416,82.02247191011236,50.0,0.0,20.676691729323306,2
2025,246,66.66666666666666,66.66666666666666,93.08943089430895,81.70731707317073,33.33333333333333,16.666666666666664,25.609756097560975,6
2026,173,72.0,72.0,96.53179190751445,92.48554913294798,66.66666666666666,66.66666666666666,23.121387283236995,3
