ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
2007,510350,DIAMANTINO,DIAMANTINO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510370,FELIZ NATAL,SINOP,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510380,FIGUEIROPOLIS D OESTE,PONTES E LACERDA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510385,GAUCHA DO NORTE,AGUA BOA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Doença meningocócica,1,1,1,0,,,,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite não especificada,1,1,1,0,,,,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite pneumocócica,1,1,1,0,,,,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Outras etiologias,9,0,8,0,,,,
2007,510420,GUIRATINGA,RONDONOPOLIS,Meningite não especificada,3,3,3,0,,,,0.0
2007,510420,GUIRATINGA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510420,GUIRATINGA,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2007,510460,ITIQUIRA,RONDONOPOLIS,Meningite bacteriana/outras bactérias,2,1,2,1,,,,100.0
2007,510460,ITIQUIRA,RONDONOPOLIS,Meningite não especificada,1,1,1,1,,,,100.0
2007,510480,JACIARA,RONDONOPOLIS,Meningite não especificada,2,2,2,0,,,,0.0
2007,510480,JACIARA,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2007,510490,JANGADA,CUIABA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510490,JANGADA,CUIABA,Outras etiologias,1,0,1,0,,,,
2007,510510,JUARA,JUARA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510510,JUARA,JUARA,Outras etiologias,4,0,4,0,,,,
2007,510515,JUINA,JUINA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510515,JUINA,JUINA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510515,JUINA,JUINA,Outras etiologias,4,0,4,0,,,,
2007,510520,JUSCIMEIRA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510523,LAMBARI D OESTE,CACERES,Outras etiologias,1,0,0,0,,,,
2007,510525,LUCAS DO RIO VERDE,SINOP,Meningite não especificada,2,2,2,0,,,,0.0
2007,510530,LUCIARA,SAO FELIX DO ARAGUAIA,Outras etiologias,1,0,0,0,,,,
2007,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510558,MARCELANDIA,COLIDER,Outras etiologias,2,0,1,0,,,,
2007,510562,MIRASSOL D OESTE,CACERES,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2007,510562,MIRASSOL D OESTE,CACERES,Meningite não especificada,1,1,1,0,,,,0.0
2007,510562,MIRASSOL D OESTE,CACERES,Meningite viral/asséptica,3,3,3,0,,,,0.0
2007,510562,MIRASSOL D OESTE,CACERES,Outras etiologias,1,0,0,0,,,,
2007,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,Outras etiologias,3,0,1,0,,,,
2007,510615,NOVA BANDEIRANTES,ALTA FLORESTA,Doença meningocócica,2,2,2,2,,,,100.0
2007,510618,NOVA LACERDA,PONTES E LACERDA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2007,510621,NOVA CANAA DO NORTE,COLIDER,Outras etiologias,3,0,2,0,,,,
2007,510622,NOVA MUTUM,SINOP,Meningite não especificada,3,3,3,0,,,,0.0
2007,510622,NOVA MUTUM,SINOP,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510625,NOVA XAVANTINA,BARRA DO GARCAS,Doença meningocócica,1,1,1,0,,,,0.0
2007,510625,NOVA XAVANTINA,BARRA DO GARCAS,Meningite não especificada,1,1,1,0,,,,0.0
