ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
2011,510336,CONQUISTA D OESTE,PONTES E LACERDA,Meningite não especificada,1,1,1,0,,,,0.0
2011,510336,CONQUISTA D OESTE,PONTES E LACERDA,Outras etiologias,1,0,0,0,,,,
2011,510340,CUIABA,CUIABA,Doença meningocócica,7,7,7,3,,,,42.857142857142854
2011,510340,CUIABA,CUIABA,Meningite bacteriana/outras bactérias,21,21,21,0,,,,0.0
2011,510340,CUIABA,CUIABA,Meningite fúngica,7,7,7,1,,,,14.285714285714285
2011,510340,CUIABA,CUIABA,Meningite não especificada,6,6,6,0,,,,0.0
2011,510340,CUIABA,CUIABA,Meningite tuberculosa,1,1,1,0,,,,0.0
2011,510340,CUIABA,CUIABA,Meningite viral/asséptica,16,16,16,0,,,,0.0
2011,510340,CUIABA,CUIABA,Outras etiologias,26,0,24,0,,,,
2011,510350,DIAMANTINO,DIAMANTINO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Doença meningocócica,1,1,1,0,,,,0.0
2011,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Outras etiologias,4,0,3,0,,,,
2011,510450,INDIAVAI,CACERES,Meningite não especificada,1,1,1,0,,,,0.0
2011,510454,ITANHANGA,SINOP,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510454,ITANHANGA,SINOP,Outras etiologias,1,0,1,0,,,,
2011,510455,ITAUBA,COLIDER,Meningite bacteriana/outras bactérias,1,1,1,1,,,,100.0
2011,510480,JACIARA,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2011,510480,JACIARA,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510480,JACIARA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510480,JACIARA,RONDONOPOLIS,Outras etiologias,1,1,1,0,,,,0.0
2011,510510,JUARA,JUARA,Doença meningocócica,1,1,1,0,,,,0.0
2011,510510,JUARA,JUARA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510510,JUARA,JUARA,Meningite não especificada,1,1,1,0,,,,0.0
2011,510510,JUARA,JUARA,Meningite pneumocócica,1,1,1,0,,,,0.0
2011,510510,JUARA,JUARA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510510,JUARA,JUARA,Outras etiologias,3,1,3,0,,,,0.0
2011,510515,JUINA,JUINA,Outras etiologias,2,0,2,0,,,,
2011,510520,JUSCIMEIRA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510525,LUCAS DO RIO VERDE,SINOP,Meningite fúngica,1,1,1,1,,,,100.0
2011,510525,LUCAS DO RIO VERDE,SINOP,Meningite não especificada,1,1,1,0,,,,0.0
2011,510525,LUCAS DO RIO VERDE,SINOP,Meningite pneumocócica,1,1,1,1,,,,100.0
2011,510525,LUCAS DO RIO VERDE,SINOP,Outras etiologias,6,0,6,0,,,,
2011,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,Outras etiologias,1,0,1,0,,,,
2011,510558,MARCELANDIA,COLIDER,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510560,MATUPA,PEIXOTO DE AZEVEDO,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510560,MATUPA,PEIXOTO DE AZEVEDO,Outras etiologias,1,0,1,0,,,,
2011,510590,NOBRES,DIAMANTINO,Meningite fúngica,1,1,1,1,,,,100.0
2011,510600,NORTELANDIA,DIAMANTINO,Outras etiologias,2,0,2,0,,,,
2011,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,Meningite pneumocócica,1,1,0,0,,,,0.0
2011,510618,NOVA LACERDA,PONTES E LACERDA,Meningite não especificada,1,1,1,1,,,,100.0
2011,510622,NOVA MUTUM,SINOP,Doença meningocócica,1,1,1,1,,,,100.0
2011,510622,NOVA MUTUM,SINOP,Meningite pneumocócica,1,1,1,0,,,,0.0
2011,510624,NOVA UBIRATA,SINOP,Outras etiologias,1,0,0,0,,,,
2011,510629,PARANAITA,ALTA FLORESTA,Doença meningocócica,1,1,1,0,,,,0.0
2011,510630,PARANATINGA,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510630,PARANATINGA,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2011,510630,PARANATINGA,RONDONOPOLIS,Outras etiologias,2,0,0,0,,,,
2011,510637,PEDRA PRETA,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510637,PEDRA PRETA,RONDONOPOLIS,Meningite pneumocócica,3,3,3,3,,,,100.0
2011,510637,PEDRA PRETA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,Meningite bacteriana/outras bactérias,1,1,1,1,,,,100.0
2011,510650,POCONE,CUIABA,Meningite não especificada,2,2,1,0,,,,0.0
2011,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite bacteriana/outras bactérias,2,2,2,1,,,,50.0
2011,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite não especificada,1,1,1,0,,,,0.0
2011,510682,PORTO ESPERIDIAO,CACERES,Doença meningocócica,1,1,1,0,,,,0.0
2011,510682,PORTO ESPERIDIAO,CACERES,Meningite não especificada,1,1,1,0,,,,0.0
2011,510682,PORTO ESPERIDIAO,CACERES,Meningite pneumocócica,1,1,1,0,,,,0.0
2011,510700,POXOREO,RONDONOPOLIS,Doença meningocócica,1,1,1,1,,,,100.0
2011,510700,POXOREO,RONDONOPOLIS,Meningite não especificada,1,1,1,1,,,,100.0
2011,510700,POXOREO,RONDONOPOLIS,Outras etiologias,2,0,2,0,,,,
2011,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Doença meningocócica,1,1,1,1,,,,100.0
2011,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2011,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite viral/asséptica,2,2,2,1,,,,50.0
2011,510706,QUERENCIA,AGUA BOA,Doença meningocócica,1,1,1,1,,,,100.0
2011,510715,RESERVA DO CABACAL,CACERES,Meningite não especificada,1,1,1,1,,,,100.0
2011,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,Doença meningocócica,1,1,1,1,,,,100.0
2011,510760,RONDONOPOLIS,RONDONOPOLIS,Doença meningocócica,2,2,2,0,,,,0.0
2011,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite fúngica,2,2,2,0,,,,0.0
2011,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite não especificada,5,5,3,1,,,,20.0
2011,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite viral/asséptica,7,7,7,0,,,,0.0
2011,510760,RONDONOPOLIS,RONDONOPOLIS,Outras etiologias,8,5,5,0,,,,0.0
2011,510775,SALTO DO CEU,CACERES,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite não especificada,1,1,0,1,,,,100.0
2011,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite por Hib/Hemófilo,1,1,1,0,,,,0.0
2011,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite viral/asséptica,3,3,3,0,,,,0.0
2011,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Outras etiologias,2,0,0,0,,,,
2011,510787,SAPEZAL,TANGARA DA SERRA,Meningite bacteriana/outras bactérias,1,1,1,1,,,,100.0
2011,510787,SAPEZAL,TANGARA DA SERRA,Outras etiologias,7,0,7,0,,,,
2011,510790,SINOP,SINOP,Doença meningocócica,2,2,2,1,,,,50.0
2011,510790,SINOP,SINOP,Meningite bacteriana/outras bactérias,3,3,3,1,,,,33.33333333333333
2011,510790,SINOP,SINOP,Meningite fúngica,1,1,1,1,,,,100.0
2011,510790,SINOP,SINOP,Meningite não especificada,6,6,6,0,,,,0.0
2011,510790,SINOP,SINOP,Meningite pneumocócica,1,1,1,1,,,,100.0
2011,510790,SINOP,SINOP,Meningite viral/asséptica,19,19,19,0,,,,0.0
2011,510790,SINOP,SINOP,Outras etiologias,8,0,8,0,,,,
2011,510792,SORRISO,SINOP,Doença meningocócica,1,1,1,1,,,,100.0
2011,510792,SORRISO,SINOP,Meningite bacteriana/outras bactérias,2,2,2,0,,,,0.0
2011,510792,SORRISO,SINOP,Meningite não especificada,4,4,4,0,,,,0.0
2011,510792,SORRISO,SINOP,Meningite viral/asséptica,1,1,1,0,,,,0.0
2011,510795,TANGARA DA SERRA,TANGARA DA SERRA,Meningite pneumocócica,2,1,2,0,,,,0.0
2011,510795,TANGARA DA SERRA,TANGARA DA SERRA,Meningite viral/asséptica,4,4,4,0,,,,0.0
2011,510795,TANGARA DA SERRA,TANGARA DA SERRA,Outras etiologias,4,1,4,1,,,,100.0
2011,510800,TAPURAH,SINOP,Doença meningocócica,1,1,1,0,,,,0.0
2011,510800,TAPURAH,SINOP,Meningite viral/asséptica,1,1,0,0,,,,0.0
2011,510800,TAPURAH,SINOP,Outras etiologias,1,0,1,0,,,,
2011,510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2011,510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,Outras etiologias,1,0,1,0,,,,
2011,510810,TESOURO,RONDONOPOLIS,Outras etiologias,1,1,1,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Doença meningocócica,3,3,3,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Meningite bacteriana/outras bactérias,5,5,5,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Meningite não especificada,3,3,3,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Meningite pneumocócica,1,1,1,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Meningite viral/asséptica,4,4,4,0,,,,0.0
2011,510840,VARZEA GRANDE,CUIABA,Outras etiologias,12,0,11,0,,,,
2011,510850,VERA,SINOP,Meningite fúngica,1,1,1,0,,,,0.0
2011,510850,VERA,SINOP,Meningite não especificada,1,1,1,0,,,,0.0
2011,510850,VERA,SINOP,Meningite por Hib/Hemófilo,1,1,1,0,,,,0.0
2011,510860,VILA RICA,PORTO ALEGRE DO NORTE,Outras etiologias,1,0,1,0,,,,
2012,510010,ACORIZAL,CUIABA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510020,AGUA BOA,AGUA BOA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510025,ALTA FLORESTA,ALTA FLORESTA,Doença meningocócica,1,1,1,0,,,,0.0
2012,510025,ALTA FLORESTA,ALTA FLORESTA,Meningite não especificada,2,2,2,0,,,,0.0
2012,510025,ALTA FLORESTA,ALTA FLORESTA,Outras etiologias,2,0,2,0,,,,
2012,510030,ALTO ARAGUAIA,RONDONOPOLIS,Meningite fúngica,1,1,1,1,,,,100.0
2012,510030,ALTO ARAGUAIA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510080,APIACAS,ALTA FLORESTA,Meningite não especificada,1,1,1,0,,,,0.0
2012,510100,ARAGUAIANA,BARRA DO GARCAS,Meningite não especificada,1,1,1,0,,,,0.0
2012,510100,ARAGUAIANA,BARRA DO GARCAS,Outras etiologias,2,0,1,0,,,,
2012,510125,ARAPUTANGA,CACERES,Outras etiologias,1,0,0,0,,,,
2012,510140,ARIPUANA,JUINA,Meningite pneumocócica,1,1,1,0,,,,0.0
2012,510170,BARRA DO BUGRES,TANGARA DA SERRA,Meningite pneumocócica,1,1,1,1,,,,100.0
2012,510170,BARRA DO BUGRES,TANGARA DA SERRA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510170,BARRA DO BUGRES,TANGARA DA SERRA,Outras etiologias,2,0,2,0,,,,
2012,510180,BARRA DO GARCAS,BARRA DO GARCAS,Doença meningocócica,2,2,2,1,,,,50.0
2012,510180,BARRA DO GARCAS,BARRA DO GARCAS,Meningite não especificada,1,1,1,0,,,,0.0
2012,510180,BARRA DO GARCAS,BARRA DO GARCAS,Outras etiologias,14,0,9,0,,,,
2012,510250,CACERES,CACERES,Meningite bacteriana/outras bactérias,4,4,3,0,,,,0.0
2012,510250,CACERES,CACERES,Meningite não especificada,3,3,3,0,,,,0.0
2012,510250,CACERES,CACERES,Meningite tuberculosa,1,1,1,0,,,,0.0
2012,510250,CACERES,CACERES,Meningite viral/asséptica,4,4,4,0,,,,0.0
2012,510250,CACERES,CACERES,Outras etiologias,1,1,1,0,,,,0.0
2012,510260,CAMPINAPOLIS,BARRA DO GARCAS,Meningite viral/asséptica,1,1,1,1,,,,100.0
2012,510260,CAMPINAPOLIS,BARRA DO GARCAS,Outras etiologias,1,0,0,0,,,,
2012,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,Meningite não especificada,1,1,1,0,,,,0.0
2012,510267,CAMPO VERDE,RONDONOPOLIS,Outras etiologias,2,0,1,0,,,,
2012,510270,CANARANA,AGUA BOA,Doença meningocócica,1,1,1,0,,,,0.0
2012,510270,CANARANA,AGUA BOA,Meningite não especificada,1,1,1,0,,,,0.0
2012,510279,CARLINDA,ALTA FLORESTA,Meningite bacteriana/outras bactérias,2,2,2,0,,,,0.0
2012,510279,CARLINDA,ALTA FLORESTA,Outras etiologias,1,0,0,0,,,,
2012,510305,CLAUDIA,SINOP,Outras etiologias,1,0,1,0,,,,
2012,510320,COLIDER,COLIDER,Meningite não especificada,1,1,1,0,,,,0.0
2012,510335,CONFRESA,PORTO ALEGRE DO NORTE,Outras etiologias,1,0,1,0,,,,
2012,510337,COTRIGUACU,JUINA,Meningite pneumocócica,1,1,1,0,,,,0.0
2012,510340,CUIABA,CUIABA,Doença meningocócica,14,14,13,3,,,,21.428571428571427
2012,510340,CUIABA,CUIABA,Meningite bacteriana/outras bactérias,17,17,16,4,,,,23.52941176470588
2012,510340,CUIABA,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
2012,510340,CUIABA,CUIABA,Meningite não especificada,12,12,12,0,,,,0.0
2012,510340,CUIABA,CUIABA,Meningite pneumocócica,5,5,5,2,,,,40.0
2012,510340,CUIABA,CUIABA,Meningite viral/asséptica,19,19,18,1,,,,5.263157894736842
2012,510340,CUIABA,CUIABA,Outras etiologias,30,2,27,1,,,,50.0
2012,510350,DIAMANTINO,DIAMANTINO,Outras etiologias,1,0,0,0,,,,
2012,510370,FELIZ NATAL,SINOP,Meningite fúngica,1,1,1,0,,,,0.0
2012,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Outras etiologias,4,0,3,0,,,,
2012,510480,JACIARA,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2012,510480,JACIARA,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2012,510480,JACIARA,RONDONOPOLIS,Outras etiologias,1,1,0,0,,,,0.0
2012,510515,JUINA,JUINA,Outras etiologias,1,0,1,0,,,,
2012,510517,JURUENA,JUINA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510520,JUSCIMEIRA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510520,JUSCIMEIRA,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2012,510525,LUCAS DO RIO VERDE,SINOP,Meningite não especificada,1,1,1,0,,,,0.0
2012,510525,LUCAS DO RIO VERDE,SINOP,Outras etiologias,2,0,2,0,,,,
2012,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510562,MIRASSOL D OESTE,CACERES,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510562,MIRASSOL D OESTE,CACERES,Meningite não especificada,1,1,1,0,,,,0.0
2012,510562,MIRASSOL D OESTE,CACERES,Meningite viral/asséptica,3,3,3,0,,,,0.0
2012,510590,NOBRES,DIAMANTINO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510615,NOVA BANDEIRANTES,ALTA FLORESTA,Meningite não especificada,1,1,1,1,,,,100.0
2012,510623,NOVA OLIMPIA,TANGARA DA SERRA,Outras etiologias,2,0,2,0,,,,
2012,510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510629,PARANAITA,ALTA FLORESTA,Meningite não especificada,1,1,1,0,,,,0.0
2012,510630,PARANATINGA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510631,NOVO SANTO ANTONIO,SAO FELIX DO ARAGUAIA,Outras etiologias,1,0,0,0,,,,
2012,510637,PEDRA PRETA,RONDONOPOLIS,Meningite não especificada,1,1,1,1,,,,100.0
2012,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,Outras etiologias,1,0,1,0,,,,
2012,510650,POCONE,CUIABA,Outras etiologias,1,1,0,0,,,,0.0
2012,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite não especificada,1,1,0,0,,,,0.0
2012,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite viral/asséptica,3,3,3,0,,,,0.0
2012,510675,PONTES E LACERDA,PONTES E LACERDA,Outras etiologias,2,0,2,0,,,,
2012,510682,PORTO ESPERIDIAO,CACERES,Meningite viral/asséptica,2,2,2,0,,,,0.0
2012,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2012,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite fúngica,3,3,3,0,,,,0.0
2012,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite não especificada,1,1,1,0,,,,0.0
2012,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite viral/asséptica,3,3,3,0,,,,0.0
2012,510706,QUERENCIA,AGUA BOA,Outras etiologias,1,0,1,0,,,,
2012,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510724,SANTA CARMEM,SINOP,Doença meningocócica,1,1,1,1,,,,100.0
2012,510729,SAO JOSE DO POVO,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2012,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2012,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,Meningite fúngica,1,1,1,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Doença meningocócica,2,2,2,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite bacteriana/outras bactérias,2,2,2,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite fúngica,2,2,2,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite não especificada,2,2,2,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite viral/asséptica,14,14,14,0,,,,0.0
2012,510760,RONDONOPOLIS,RONDONOPOLIS,Outras etiologias,2,1,1,0,,,,0.0
2012,510790,SINOP,SINOP,Doença meningocócica,4,4,4,2,,,,50.0
2012,510790,SINOP,SINOP,Meningite bacteriana/outras bactérias,2,2,2,0,,,,0.0
2012,510790,SINOP,SINOP,Meningite não especificada,6,6,6,0,,,,0.0
2012,510790,SINOP,SINOP,Meningite pneumocócica,1,1,1,1,,,,100.0
2012,510790,SINOP,SINOP,Meningite viral/asséptica,17,17,17,0,,,,0.0
2012,510790,SINOP,SINOP,Outras etiologias,4,0,4,0,,,,
2012,510792,SORRISO,SINOP,Doença meningocócica,2,2,2,1,,,,50.0
2012,510792,SORRISO,SINOP,Meningite fúngica,1,1,1,0,,,,0.0
2012,510792,SORRISO,SINOP,Meningite não especificada,2,2,2,0,,,,0.0
2012,510792,SORRISO,SINOP,Meningite tuberculosa,1,1,1,1,,,,100.0
2012,510792,SORRISO,SINOP,Meningite viral/asséptica,5,5,5,0,,,,0.0
2012,510792,SORRISO,SINOP,Outras etiologias,5,1,2,0,,,,0.0
2012,510794,TABAPORA,JUARA,Outras etiologias,1,0,1,0,,,,
2012,510795,TANGARA DA SERRA,TANGARA DA SERRA,Doença meningocócica,1,1,1,0,,,,0.0
2012,510795,TANGARA DA SERRA,TANGARA DA SERRA,Outras etiologias,2,0,2,0,,,,
2012,510800,TAPURAH,SINOP,Doença meningocócica,1,1,1,0,,,,0.0
2012,510800,TAPURAH,SINOP,Meningite não especificada,1,1,1,0,,,,0.0
2012,510810,TESOURO,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2012,510820,TORIXOREU,BARRA DO GARCAS,Meningite não especificada,1,1,1,1,,,,100.0
2012,510840,VARZEA GRANDE,CUIABA,Doença meningocócica,5,5,5,2,,,,40.0
2012,510840,VARZEA GRANDE,CUIABA,Meningite bacteriana/outras bactérias,4,4,4,0,,,,0.0
2012,510840,VARZEA GRANDE,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
2012,510840,VARZEA GRANDE,CUIABA,Meningite não especificada,5,5,5,1,,,,20.0
2012,510840,VARZEA GRANDE,CUIABA,Meningite pneumocócica,2,2,2,0,,,,0.0
2012,510840,VARZEA GRANDE,CUIABA,Meningite viral/asséptica,8,8,8,0,,,,0.0
2012,510840,VARZEA GRANDE,CUIABA,Outras etiologias,10,2,4,0,,,,0.0
2012,510850,VERA,SINOP,Doença meningocócica,1,1,1,0,,,,0.0
2012,510850,VERA,SINOP,Outras etiologias,1,0,1,0,,,,
2013,510020,AGUA BOA,AGUA BOA,Outras etiologias,1,0,1,0,,,,
2013,510030,ALTO ARAGUAIA,RONDONOPOLIS,Doença meningocócica,1,1,0,1,,,,100.0
2013,510040,ALTO GARCAS,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,1,,,,100.0
2013,510050,ALTO PARAGUAI,DIAMANTINO,Outras etiologias,1,0,1,0,,,,
2013,510080,APIACAS,ALTA FLORESTA,Doença meningocócica,1,1,1,0,,,,0.0
2013,510100,ARAGUAIANA,BARRA DO GARCAS,Meningite bacteriana/outras bactérias,1,1,0,0,,,,0.0
2013,510100,ARAGUAIANA,BARRA DO GARCAS,Outras etiologias,2,0,2,0,,,,
2013,510125,ARAPUTANGA,CACERES,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2013,510130,ARENAPOLIS,TANGARA DA SERRA,Outras etiologias,1,0,1,0,,,,
2013,510140,ARIPUANA,JUINA,Outras etiologias,1,0,1,0,,,,
2013,510170,BARRA DO BUGRES,TANGARA DA SERRA,Meningite viral/asséptica,3,3,3,0,,,,0.0
2013,510170,BARRA DO BUGRES,TANGARA DA SERRA,Outras etiologias,1,0,1,0,,,,
2013,510180,BARRA DO GARCAS,BARRA DO GARCAS,Meningite fúngica,1,1,1,0,,,,0.0
2013,510180,BARRA DO GARCAS,BARRA DO GARCAS,Meningite não especificada,7,7,7,1,,,,14.285714285714285
2013,510180,BARRA DO GARCAS,BARRA DO GARCAS,Outras etiologias,6,1,6,0,,,,0.0
2013,510190,BRASNORTE,JUINA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2013,510250,CACERES,CACERES,Doença meningocócica,2,2,2,0,,,,0.0
2013,510250,CACERES,CACERES,Meningite bacteriana/outras bactérias,5,5,5,0,,,,0.0
2013,510250,CACERES,CACERES,Meningite não especificada,10,10,10,0,,,,0.0
2013,510250,CACERES,CACERES,Meningite viral/asséptica,20,20,19,0,,,,0.0
2013,510250,CACERES,CACERES,Outras etiologias,1,0,1,0,,,,
2013,510260,CAMPINAPOLIS,BARRA DO GARCAS,Meningite pneumocócica,1,1,1,0,,,,0.0
2013,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,Outras etiologias,1,0,1,0,,,,
2013,510267,CAMPO VERDE,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2013,510267,CAMPO VERDE,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2013,510267,CAMPO VERDE,RONDONOPOLIS,Outras etiologias,1,0,0,0,,,,
2013,510270,CANARANA,AGUA BOA,Meningite não especificada,1,1,1,1,,,,100.0
2013,510270,CANARANA,AGUA BOA,Outras etiologias,5,0,4,0,,,,
2013,510300,CHAPADA DOS GUIMARAES,CUIABA,Doença meningocócica,2,2,2,1,,,,50.0
2013,510300,CHAPADA DOS GUIMARAES,CUIABA,Meningite não especificada,1,1,1,0,,,,0.0
2013,510300,CHAPADA DOS GUIMARAES,CUIABA,Meningite pneumocócica,1,1,1,0,,,,0.0
2013,510300,CHAPADA DOS GUIMARAES,CUIABA,Outras etiologias,2,0,1,0,,,,
2013,510305,CLAUDIA,SINOP,Meningite viral/asséptica,1,1,1,0,,,,0.0
2013,510305,CLAUDIA,SINOP,Outras etiologias,1,1,1,0,,,,0.0
2013,510320,COLIDER,COLIDER,Outras etiologias,1,0,1,0,,,,
2013,510340,CUIABA,CUIABA,Doença meningocócica,8,8,8,5,,,,62.5
2013,510340,CUIABA,CUIABA,Meningite bacteriana/outras bactérias,6,6,6,2,,,,33.33333333333333
2013,510340,CUIABA,CUIABA,Meningite não especificada,25,25,25,0,,,,0.0
2013,510340,CUIABA,CUIABA,Meningite pneumocócica,3,3,3,0,,,,0.0
2013,510340,CUIABA,CUIABA,Meningite viral/asséptica,16,16,16,0,,,,0.0
2013,510340,CUIABA,CUIABA,Outras etiologias,33,1,29,0,,,,0.0
2013,510350,DIAMANTINO,DIAMANTINO,Meningite não especificada,1,1,1,0,,,,0.0
2013,510360,DOM AQUINO,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2013,510360,DOM AQUINO,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2013,510370,FELIZ NATAL,SINOP,Meningite não especificada,1,1,1,1,,,,100.0
2013,510390,GENERAL CARNEIRO,BARRA DO GARCAS,Outras etiologias,1,0,1,0,,,,
2013,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2013,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite não especificada,1,1,1,0,,,,0.0
2013,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2013,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Outras etiologias,2,0,2,0,,,,
2013,510420,GUIRATINGA,RONDONOPOLIS,Outras etiologias,2,1,2,0,,,,0.0
2013,510454,ITANHANGA,SINOP,Doença meningocócica,2,2,2,0,,,,0.0
2013,510455,ITAUBA,COLIDER,Doença meningocócica,1,1,1,0,,,,0.0
