variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica,grupo_analise
exp_class_DOENCA MENINGOCOCICA,Classificação agrupada: Doença meningocócica,Confirmação,5944,278,0,3217,2449,424.04708624708627,26.443253217947724,6800.068428516888,7.241405697137096e-67,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE BACTERIANA OUTRAS BA,Classificação agrupada: Meningite bacteriana/outras bactérias,Confirmação,5944,496,2,2999,2447,202.35278426142048,50.41384680426609,812.2103726249277,1.8501031921263067e-117,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE FUNGICA,Classificação agrupada: Meningite fúngica,Confirmação,5944,172,0,3323,2449,254.2733564013841,15.832208565637501,4083.75998254302,7.115301891592439e-41,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE NAO ESPECIFICADA,Classificação agrupada: Meningite não especificada,Confirmação,5944,1160,5,2335,2444,242.82997858672377,100.69604860669459,585.5880078347827,2.837647969347868e-298,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE PNEUMOCOCICA,Classificação agrupada: Meningite pneumocócica,Confirmação,5944,221,1,3274,2448,165.24373854612097,23.156933751025335,1179.1497709617856,8.636491222965933e-51,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE POR HIB HEMOFILO,Classificação agrupada: Meningite por Hib/Hemófilo,Confirmação,5944,21,0,3474,2449,30.31472154266801,1.8353815867290912,500.7036949996083,1.761852270640404e-05,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE TUBERCULOSA,Classificação agrupada: Meningite tuberculosa,Confirmação,5944,47,0,3448,2449,67.47933884297521,4.157571209477677,1095.221450520175,1.9312274235185578e-11,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_MENINGITE VIRAL ASSEPTICA,Classificação agrupada: Meningite viral/asséptica,Confirmação,5944,912,0,2583,2449,1730.3415908651054,108.08363287846555,27701.530207115404,8.560544843404959e-236,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Classificação agrupada
exp_class_OUTRAS ETIOLOGIAS,Classificação agrupada: Outras etiologias,Confirmação,5944,188,2441,3307,8,0.00018631415961598471,9.164742846646611e-05,0.0003787663948051976,0.0,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.,Classificação agrupada
DoencasPreexistentesAIDS_bin_v17,DoencasPreexistentesAIDS,Óbito por meningite,4629,22,342,307,3958,0.8293426291026154,0.5306825606146252,1.296084038733499,0.457954736260856,p=0.4580: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.,Comorbidades/sinais/sintomas
DoencasPreexistentesImunodepressoras_bin_v17,DoencasPreexistentesImunodepressoras,Óbito por meningite,4598,10,70,319,4199,1.8804299149126735,0.9600142243183809,3.6832961172102308,0.07561918368820914,p=0.0756: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesIRA_bin_v17,DoencasPreexistentesIRA,Óbito por meningite,4677,9,86,324,4258,1.3753229974160206,0.6857728679256156,2.7582213232538617,0.3177482286646135,p=0.3177: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
DoencasPreexistentesTuberculose_bin_v17,DoencasPreexistentesTuberculose,Óbito por meningite,4656,2,90,331,4233,0.2841893252769386,0.06968176667776334,1.1590345143636356,0.06408667780277813,p=0.0641: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.,Comorbidades/sinais/sintomas
DoencasPreexistentesTraumatismo_bin_v17,DoencasPreexistentesTraumatismo,Óbito por meningite,4724,15,170,320,4219,1.163327205882353,0.6779144293878416,1.9963141796053858,0.5584246255690392,p=0.5584: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
DoencasPreexistentesInfeccaoHospitalar_bin_v17,DoencasPreexistentesInfeccaoHospitalar,Óbito por meningite,4688,3,54,331,4300,0.7217186975495132,0.22445091923609234,2.3206760754883424,0.796294628623929,p=0.7963: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.,Comorbidades/sinais/sintomas
DoencasPreexistentesOutras_bin_v17,DoencasPreexistentesOutras,Óbito por meningite,4302,85,644,235,3338,1.8747852517510242,1.442627685069171,2.436401142554409,6.131896379487764e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasCefaleia_bin_v17,SinaisESintomasCefaleia,Óbito por meningite,5098,259,3530,91,1218,0.9820440183046415,0.7666786425894352,1.2579070295093369,0.8991274747382073,p=0.8991: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
SinaisESintomasFebre_bin_v17,SinaisESintomasFebre,Óbito por meningite,5395,307,4012,65,1011,1.1901871309149474,0.9028086070258236,1.5690428686343216,0.22670913471062698,p=0.2267: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
