semana_epi_v17,classificacao_agrupada_v17,minimo,q25,media,mediana,q75,maximo,p95,observado,ano_observado
8,Meningite viral/asséptica,1,1.0,2.0,1.0,1.5,7,5.4999999999999964,0.0,2026
8,Outras etiologias,1,1.0,2.625,2.0,3.25,8,5.75,0.0,2026
9,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
9,Meningite bacteriana/outras bactérias,1,1.0,1.1818181818181819,1.0,1.0,2,2.0,0.0,2026
9,Meningite não especificada,1,1.0,2.272727272727273,2.0,3.5,5,4.5,2.0,2026
9,Meningite pneumocócica,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,0.0,2026
9,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
9,Meningite viral/asséptica,1,1.0,1.5,1.0,2.0,3,2.6499999999999995,0.0,2026
9,Outras etiologias,1,2.0,3.0588235294117645,3.0,4.0,6,5.199999999999999,4.0,2026
10,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
10,Meningite bacteriana/outras bactérias,1,1.0,1.2222222222222223,1.0,1.0,2,2.0,1.0,2026
10,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
10,Meningite não especificada,1,1.0,2.076923076923077,2.0,3.0,5,3.799999999999997,1.0,2026
10,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
10,Meningite viral/asséptica,1,1.0,1.6,1.0,1.75,5,3.649999999999997,0.0,2026
10,Outras etiologias,1,2.0,2.9473684210526314,3.0,4.0,6,6.0,6.0,2026
11,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
11,Meningite bacteriana/outras bactérias,1,1.0,2.0,2.0,2.5,4,3.6999999999999993,1.0,2026
11,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
11,Meningite não especificada,1,1.0,1.9090909090909092,2.0,2.0,4,3.5,2.0,2026
11,Meningite pneumocócica,1,1.0,1.3333333333333333,1.0,1.5,2,1.9,0.0,2026
11,Meningite viral/asséptica,1,1.0,1.375,1.0,2.0,2,2.0,0.0,2026
