escopo,n_casos,pct_match_gal,pct_bact_lab_com_gal,pct_obitos_sim_sobre_uniao,pct_discordancia_sim_sem_sinan,n_discordancia_sim_sem_sinan,n_sim_link,n_obitos_uniao
ESTADUAL,5944,6.981830417227457,6.773283160865475,15.421686746987953,0.3364737550471063,20,64,415
AGUA BOA,115,30.434782608695656,15.0,37.5,1.7391304347826086,2,3,8
ALTA FLORESTA,120,3.3333333333333335,0.0,14.285714285714285,0.0,0,2,14
BARRA DO GARCAS,253,3.1620553359683794,0.0,12.0,0.3952569169960474,1,3,25
CACERES,362,3.591160220994475,1.1494252873563218,16.666666666666664,0.0,0,5,30
COLIDER,89,11.235955056179774,11.11111111111111,0.0,0.0,0,0,4
CUIABA,2295,6.2745098039215685,7.547169811320755,10.687022900763358,0.17429193899782133,4,14,131
DIAMANTINO,105,8.571428571428571,11.11111111111111,10.0,0.0,0,1,10
JUARA,69,18.84057971014493,8.333333333333332,57.14285714285714,5.797101449275362,4,4,7
JUINA,95,21.052631578947366,22.22222222222222,22.22222222222222,0.0,0,2,9
PEIXOTO DE AZEVEDO,142,11.267605633802818,0.0,0.0,0.0,0,0,8
PONTES E LACERDA,162,3.7037037037037033,6.25,10.0,0.0,0,1,10
PORTO ALEGRE DO NORTE,62,20.967741935483872,16.666666666666664,25.0,1.6129032258064515,1,1,4
RONDONOPOLIS,888,4.166666666666666,7.834101382488479,20.28985507246377,0.5630630630630631,5,14,69
SAO FELIX DO ARAGUAIA,11,9.090909090909092,,,0.0,0,0,0
SINOP,832,6.009615384615385,4.2682926829268295,13.432835820895523,0.1201923076923077,1,9,67
TANGARA DA SERRA,344,10.465116279069768,14.285714285714285,26.31578947368421,0.5813953488372093,2,5,19
