estrato,ano_epi_v17,semana_epi_v17,periodo,observado,atraso_semanas_proxy,prob_ja_notificado,nowcast,nowcast_p10,nowcast_p90,incremento_estimado,metodo_atraso
REGIONAL::CACERES,2026,31,2026-S31,0.0,0,0.3527777777777778,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,2026,26,2026-S26,0.0,4,0.9550561797752809,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,2026,27,2026-S27,0.0,3,0.9325842696629213,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,2026,28,2026-S28,0.0,2,0.9325842696629213,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,2026,29,2026-S29,0.0,1,0.8314606741573034,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,2026,30,2026-S30,0.0,0,0.4943820224719101,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,2026,31,2026-S31,0.0,0,0.4943820224719101,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,2026,26,2026-S26,1.0,4,0.9544857768052516,1.0476845483723063,1.040528233151184,1.053480866758875,0.04768454837230629,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,2026,27,2026-S27,0.0,3,0.9444201312910284,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,2026,28,2026-S28,0.0,2,0.9247264770240701,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,2026,29,2026-S29,0.0,1,0.8520787746170678,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,2026,30,2026-S30,0.0,0,0.5019693654266958,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,2026,31,2026-S31,0.0,0,0.5019693654266958,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,2026,26,2026-S26,0.0,4,0.9619047619047619,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,2026,27,2026-S27,0.0,3,0.9238095238095239,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,2026,28,2026-S28,0.0,2,0.8761904761904762,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,2026,29,2026-S29,0.0,1,0.7523809523809524,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,2026,30,2026-S30,0.0,0,0.4095238095238095,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,2026,31,2026-S31,0.0,0,0.4095238095238095,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,2026,26,2026-S26,0.0,4,0.9850746268656716,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,2026,27,2026-S27,0.0,3,0.9850746268656716,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,2026,28,2026-S28,0.0,2,0.9552238805970149,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,2026,29,2026-S29,0.0,1,0.9104477611940298,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,2026,30,2026-S30,0.0,0,0.43283582089552236,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,2026,31,2026-S31,0.0,0,0.43283582089552236,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUINA,2026,26,2026-S26,0.0,4,0.9468085106382979,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
REGIONAL::JUINA,2026,27,2026-S27,2.0,3,0.9148936170212766,2.186046511627907,2.1123595505617976,2.2650602409638556,0.18604651162790686,SE_sintomas_para_SE_notificacao
REGIONAL::JUINA,2026,28,2026-S28,0.0,2,0.8829787234042553,0.0,0.0,0.0,0.0,SE_sintomas_para_SE_notificacao
