escopo,indicador,n_casos,n_doses_cipv,pct_completude_sinan,pct_vacinados_sinan,fonte_cipv
CIPV|REGIONAL|PONTES E LACERDA,Meningocócica (outra),,24641.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|PONTES E LACERDA,Penta/Hexa (Hib),,16552.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|PORTO ALEGRE DO NORTE,Hib,,20976.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|PORTO ALEGRE DO NORTE,MenACWY,,25.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|PORTO ALEGRE DO NORTE,MenC,,257.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|PORTO ALEGRE DO NORTE,Meningocócica (outra),,21523.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|PORTO ALEGRE DO NORTE,Penta/Hexa (Hib),,12708.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|RONDONOPOLIS,Hib,,134022.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|RONDONOPOLIS,MenACWY,,689.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|RONDONOPOLIS,MenC,,2482.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|RONDONOPOLIS,Meningocócica (outra),,103829.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|RONDONOPOLIS,Penta/Hexa (Hib),,69080.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SAO FELIX DO ARAGUAIA,Hib,,7126.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SAO FELIX DO ARAGUAIA,MenACWY,,55.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SAO FELIX DO ARAGUAIA,MenC,,166.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SAO FELIX DO ARAGUAIA,Meningocócica (outra),,4974.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SAO FELIX DO ARAGUAIA,Penta/Hexa (Hib),,3429.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SINOP,Hib,,193603.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SINOP,MenACWY,,485.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SINOP,MenC,,4396.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SINOP,Meningocócica (outra),,116689.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|SINOP,Penta/Hexa (Hib),,81264.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|Sem regional,Hib,,207.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|Sem regional,MenC,,4.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|Sem regional,Meningocócica (outra),,426.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|Sem regional,Penta/Hexa (Hib),,224.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|TANGARA DA SERRA,Hib,,77570.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|TANGARA DA SERRA,MenACWY,,853.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|TANGARA DA SERRA,MenC,,739.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|TANGARA DA SERRA,Meningocócica (outra),,52215.0,,,cipv_doses_meningite.csv
CIPV|REGIONAL|TANGARA DA SERRA,Penta/Hexa (Hib),,33388.0,,,cipv_doses_meningite.csv
