codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,hospitalizacoes,obitos_meningite,com_resultado_laboratorial,com_resultado_concludente,positivos_laboratoriais,taxa_uso_laboratorio_pct,taxa_positividade_real_pct,lat,lon,distancia_cuiaba_km
510395,GLORIA D OESTE,CACERES,2,1,2,0,1,1,1,50.0,100.0,-15.7061,-52.7538,358.14604899818187
510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,89,32,82,4,19,19,18,21.34831460674157,94.73684210526315,-15.7539,-58.3073,237.23973547552953
510420,GUIRATINGA,RONDONOPOLIS,15,11,14,0,3,3,3,20.0,100.0,-9.78921,-54.8876,659.4106062676516
510450,INDIAVAI,CACERES,3,3,3,0,0,0,0,0.0,,-16.3456,-53.7592,263.2694094540951
510452,IPIRANGA DO NORTE,SINOP,7,4,5,1,2,2,1,28.57142857142857,50.0,-15.3949,-58.892,300.3627419183236
510454,ITANHANGA,SINOP,9,5,9,0,2,2,0,22.22222222222222,0.0,-12.1852,-56.0717,379.8294446658402
510455,ITAUBA,COLIDER,7,5,7,1,2,2,0,28.57142857142857,0.0,-12.2267,-56.6521,379.9568207105517
510460,ITIQUIRA,RONDONOPOLIS,14,12,13,2,4,4,3,28.57142857142857,75.0,-11.1396,-55.2894,503.7150536956059
510480,JACIARA,RONDONOPOLIS,53,41,45,5,14,14,13,26.41509433962264,92.85714285714286,-17.2069,-54.1444,274.34226854261095
510490,JANGADA,CUIABA,8,3,7,0,1,1,1,12.5,100.0,-15.965,-54.9682,127.3855074058572
510500,JAURU,PONTES E LACERDA,8,7,8,0,0,0,0,0.0,,-15.2393,-56.4891,58.17302132441647
510510,JUARA,JUARA,55,21,49,1,11,11,9,20.0,81.81818181818183,-15.3216,-58.8789,299.7505551423779
510515,JUINA,JUINA,37,16,35,4,13,13,10,35.13513513513514,76.92307692307693,-11.2505,-57.518,507.56743619151644
510517,JURUENA,JUINA,12,4,10,0,2,2,2,16.666666666666664,100.0,,,
510520,JUSCIMEIRA,RONDONOPOLIS,17,10,16,1,2,2,1,11.76470588235294,50.0,-11.3813,-58.7394,549.3137429316507
510523,LAMBARI D OESTE,CACERES,8,7,7,0,0,0,0,0.0,,-10.3235,-58.3644,636.151637839215
510525,LUCAS DO RIO VERDE,SINOP,68,21,62,7,14,14,12,20.588235294117645,85.71428571428571,-16.0503,-54.887,138.75198326239516
