codigo_municipio,ano,nascidos_vivos
510700,2024,224
510700,2025,395
510700,2026,119
510704,2023,1585
510704,2024,1481
510704,2025,2915
510704,2026,867
510706,2023,541
510706,2024,520
510706,2025,574
510706,2026,304
510710,2023,179
510710,2024,189
510710,2025,249
510710,2026,110
510715,2023,32
510715,2024,18
510715,2025,56
510715,2026,12
510718,2023,146
510718,2024,131
510718,2025,153
510718,2026,70
510719,2023,22
510719,2024,32
510719,2025,28
510719,2026,15
510720,2023,56
510720,2024,62
510720,2025,119
510720,2026,28
510724,2023,103
510724,2024,97
510724,2025,204
510724,2026,40
510726,2023,44
510726,2024,38
510726,2025,53
510726,2026,16
510729,2023,13
510729,2024,14
510729,2025,34
510729,2026,11
510730,2023,207
510730,2024,219
510730,2025,322
510730,2026,89
510735,2023,139
510735,2024,109
510735,2025,136
510735,2026,63
510740,2023,47
510740,2024,34
510740,2025,67
510740,2026,34
510757,2023,43
510757,2024,40
510757,2025,52
510757,2026,13
510760,2023,3965
510760,2024,3680
510760,2025,7884
510760,2026,2110
510770,2023,189
510770,2024,146
510770,2025,289
510770,2026,88
510774,2023,41
510774,2024,37
510774,2025,55
510774,2026,25
510775,2023,40
510775,2024,41
510775,2025,87
510775,2026,15
510776,2023,58
510776,2024,38
510776,2025,58
510776,2026,22
510777,2023,104
510777,2024,97
510777,2025,106
510777,2026,60
510779,2023,76
510779,2024,77
510779,2025,128
510779,2026,52
510780,2023,257
510780,2024,208
510780,2025,449
510780,2026,103
510785,2023,123
510785,2024,123
510785,2025,152
510785,2026,82
510787,2023,598
510787,2024,544
510787,2025,681
510787,2026,273
510788,2023,22
510788,2024,27
510788,2025,20
510788,2026,8
510790,2023,3669
510790,2024,3560
510790,2025,7672
510790,2026,1846
510792,2023,2194
510792,2024,2117
510792,2025,4362
510792,2026,1084
510794,2023,185
510794,2024,158
510794,2025,196
510794,2026,83
510795,2023,1497
510795,2024,1469
510795,2025,3185
510795,2026,843
510800,2023,221
510800,2024,216
510800,2025,456
510800,2026,123
510805,2023,176
510805,2024,145
510805,2025,210
510805,2026,85
510810,2023,23
510810,2024,33
510810,2025,53
510810,2026,14
510820,2023,27
510820,2024,31
510820,2025,36
510820,2026,26
510830,2023,73
510830,2024,69
510830,2025,125
510830,2026,28
510835,2023,34
510835,2024,28
510835,2025,43
510835,2026,24
510840,2023,4569
510840,2024,4403
510840,2025,9358
510840,2026,2270
510850,2023,176
510850,2024,160
510850,2025,340
510850,2026,80
510860,2023,304
510860,2024,291
510860,2025,321
510860,2026,150
510880,2023,74
510880,2024,62
510880,2025,118
510880,2026,35
510885,2023,59
510885,2024,43
510885,2025,85
510885,2026,30
510890,2023,86
510890,2024,68
510890,2025,142
510890,2026,46
510895,2023,124
510895,2024,114
510895,2025,160
510895,2026,70
