codigo_municipio_v17,municipio_v17,regional_v17,score_risco,lisa_i,lisa_p,cluster_lisa
510030,,,0.0,0.21894580048130127,0.433,Não significativo
510517,,,0.0,0.21894580048130127,0.001,Baixo-Baixo
510340,CUIABA,CUIABA,1.9230769230769231,1.1906097942935496,0.159,Não significativo
510645,,,0.0,-0.06523669981102401,0.436,Não significativo
510515,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510343,,,0.0,-0.15996419990846572,0.473,Não significativo
510035,,,0.0,0.21894580048130127,0.436,Não significativo
510345,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510780,SANTO ANTONIO DO LEVERGER,CUIABA,1.4807692307692308,1.327680495446499,0.059,Não significativo
510787,,,0.0,0.029490800286417745,0.436,Não significativo
510788,,,0.0,0.21894580048130127,0.437,Não significativo
510785,,,0.0,-0.03366086644521008,0.361,Não significativo
510650,,,0.0,-0.15996419990846572,0.471,Não significativo
510170,,,0.0,0.1315050311605858,0.223,Não significativo
510040,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1.4807692307692308,-0.9177842006880002,0.001,Alto-Baixo
510520,JUSCIMEIRA,RONDONOPOLIS,1.4807692307692308,1.7019246114689155,0.027,Alto-Alto
510525,LUCAS DO RIO VERDE,SINOP,1.4807692307692308,2.815816547346659,0.01,Alto-Alto
510260,CAMPINAPOLIS,BARRA DO GARCAS,1.4807692307692308,-0.2370724620960456,0.245,Não significativo
510395,GLORIA D OESTE,CACERES,1.4807692307692308,0.03521223334073625,0.444,Não significativo
510700,,,0.0,-0.12207319986948907,0.303,Não significativo
510523,,,0.0,0.056555800314258234,0.46,Não significativo
510267,,,0.0,-0.21655465451213227,0.133,Não significativo
510830,,,0.0,-0.008400199752558974,0.424,Não significativo
510704,,,0.0,0.07685455033513863,0.173,Não significativo
510130,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510835,,,0.0,0.21894580048130127,0.431,Não significativo
510268,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510269,CANABRAVA DO NORTE,PORTO ALEGRE DO NORTE,1.4807692307692308,0.2734613418479203,0.218,Não significativo
510310,,,0.0,0.029490800286417745,0.438,Não significativo
510880,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510270,CANARANA,AGUA BOA,1.4807692307692308,-0.2370724620960456,0.238,Não significativo
510885,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510757,,,0.0,0.21894580048130124,0.476,Não significativo
510622,,,0.0,-0.39924340470005565,0.03,Baixo-Alto
510279,,,0.0,-0.008400199752558974,0.423,Não significativo
510623,,,0.0,0.21894580048130124,0.476,Não significativo
510620,NOVA BRASILANDIA,CUIABA,1.4807692307692308,-0.9177842006880002,0.001,Alto-Baixo
510621,,,0.0,-0.008400199752558962,0.421,Não significativo
510800,TAPURAH,SINOP,1.4807692307692308,0.9490161733293297,0.07,Não significativo
510626,,,0.0,-0.2357461999864192,0.225,Não significativo
510140,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510627,,,0.0,0.21894580048130124,0.479,Não significativo
510010,,,0.0,-0.303654745510819,0.081,Não significativo
510624,,,0.0,-0.08811892710728919,0.225,Não significativo
510320,,,0.0,0.02949080028641776,0.28,Não significativo
510625,,,0.0,-0.10583419985278476,0.342,Não significativo
510805,,,0.0,-0.2357461999864192,0.225,Não significativo
