ano_epi_v17,semana_epi_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,altas
2018,38,Meningite não especificada,1,1,1,1,0
2018,38,Meningite pneumocócica,1,1,1,0,1
2018,38,Meningite viral/asséptica,2,2,2,0,2
2018,38,Outras etiologias,2,0,1,0,1
2018,39,Meningite não especificada,3,3,3,0,2
2018,39,Meningite viral/asséptica,1,1,1,0,1
2018,39,Outras etiologias,5,1,4,1,3
2018,40,Meningite não especificada,1,1,1,0,1
2018,40,Outras etiologias,3,0,2,0,2
2018,41,Outras etiologias,2,0,1,0,1
2018,43,Meningite fúngica,1,1,1,1,0
2018,43,Meningite não especificada,1,1,1,0,1
2018,43,Outras etiologias,2,0,2,0,1
2018,44,Outras etiologias,3,0,3,0,2
2018,45,Meningite bacteriana/outras bactérias,1,1,1,0,1
2018,45,Meningite não especificada,1,1,1,0,1
2018,45,Meningite viral/asséptica,1,1,1,0,1
2018,45,Outras etiologias,1,0,1,0,1
2018,46,Meningite fúngica,1,1,1,0,0
2018,46,Meningite não especificada,2,2,2,0,2
2018,46,Meningite viral/asséptica,1,1,1,0,1
2018,46,Outras etiologias,3,0,3,0,3
2018,47,Meningite bacteriana/outras bactérias,1,1,1,0,0
2018,47,Meningite não especificada,1,1,1,0,1
2018,47,Meningite viral/asséptica,1,1,1,0,1
2018,47,Outras etiologias,2,0,2,0,1
2018,48,Meningite não especificada,1,1,1,0,1
2018,48,Outras etiologias,7,0,6,0,4
2018,49,Doença meningocócica,1,1,1,0,1
2018,49,Meningite não especificada,1,1,1,0,1
2018,49,Outras etiologias,6,1,5,0,4
2018,50,Meningite fúngica,1,1,1,0,1
2018,50,Meningite viral/asséptica,1,1,1,0,1
2018,50,Outras etiologias,2,0,0,0,1
2018,51,Meningite viral/asséptica,1,1,1,0,1
2018,51,Outras etiologias,1,0,1,0,0
2018,52,Meningite bacteriana/outras bactérias,1,1,1,0,1
2018,52,Meningite viral/asséptica,1,1,1,0,1
2019,1,Meningite pneumocócica,2,2,2,1,1
2019,1,Outras etiologias,1,0,1,0,0
2019,2,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,2,Meningite não especificada,3,3,3,0,3
2019,2,Outras etiologias,3,0,3,0,3
2019,3,Meningite viral/asséptica,2,2,2,0,2
2019,3,Outras etiologias,1,0,1,0,0
2019,4,Meningite não especificada,3,3,2,0,2
2019,4,Outras etiologias,1,1,1,0,1
2019,5,Outras etiologias,5,0,5,0,3
2019,6,Meningite não especificada,1,1,1,0,1
2019,6,Meningite viral/asséptica,1,1,1,0,1
2019,6,Outras etiologias,1,0,0,0,1
2019,7,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,7,Outras etiologias,4,1,4,1,2
2019,8,Meningite fúngica,1,1,1,0,0
2019,8,Meningite viral/asséptica,1,1,1,0,1
2019,8,Outras etiologias,1,1,0,1,0
2019,9,Outras etiologias,2,0,2,0,1
2019,10,Meningite fúngica,1,1,1,0,0
2019,10,Meningite não especificada,2,2,2,1,1
2019,10,Meningite viral/asséptica,2,2,2,0,1
2019,10,Outras etiologias,5,0,5,0,5
2019,11,Doença meningocócica,1,1,1,0,1
2019,11,Meningite bacteriana/outras bactérias,2,2,2,0,2
2019,11,Meningite não especificada,1,1,1,0,1
2019,11,Outras etiologias,2,0,2,0,2
2019,12,Doença meningocócica,1,1,1,0,1
2019,12,Meningite não especificada,2,2,2,0,2
2019,12,Meningite pneumocócica,1,1,1,0,1
2019,12,Meningite viral/asséptica,1,1,1,0,1
2019,12,Outras etiologias,4,1,4,0,4
2019,13,Meningite não especificada,2,2,2,0,2
2019,13,Meningite pneumocócica,2,2,2,1,0
2019,13,Outras etiologias,2,0,2,0,2
2019,14,Meningite não especificada,1,1,1,0,1
2019,14,Outras etiologias,2,0,2,0,2
2019,15,Meningite não especificada,2,2,2,0,2
2019,15,Meningite pneumocócica,1,1,1,1,0
2019,15,Outras etiologias,4,0,4,0,1
2019,16,Meningite não especificada,1,1,1,0,1
2019,16,Outras etiologias,3,0,2,0,2
2019,17,Meningite não especificada,1,1,1,0,1
2019,17,Outras etiologias,2,0,2,0,2
2019,18,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,18,Meningite não especificada,1,1,1,0,1
2019,18,Meningite viral/asséptica,1,1,1,0,1
2019,18,Outras etiologias,3,0,2,0,3
2019,19,Meningite viral/asséptica,1,1,1,0,1
2019,19,Outras etiologias,2,0,1,0,1
2019,20,Meningite bacteriana/outras bactérias,2,2,2,0,0
2019,20,Meningite não especificada,2,2,2,0,2
2019,20,Meningite tuberculosa,1,1,1,0,0
2019,20,Outras etiologias,2,0,2,0,1
2019,21,Meningite não especificada,2,2,2,0,2
2019,21,Outras etiologias,1,0,1,0,1
2019,22,Doença meningocócica,2,2,2,2,0
2019,22,Meningite não especificada,1,1,1,0,0
2019,22,Meningite pneumocócica,2,2,2,1,1
2019,22,Meningite viral/asséptica,1,1,0,0,1
2019,22,Outras etiologias,1,0,1,0,1
2019,23,Meningite não especificada,1,1,1,0,1
2019,23,Meningite pneumocócica,1,1,1,0,1
2019,23,Outras etiologias,3,0,3,0,3
2019,24,Meningite não especificada,3,3,3,1,2
2019,24,Meningite pneumocócica,2,2,2,1,1
2019,24,Outras etiologias,3,0,3,0,3
2019,25,Meningite não especificada,1,1,1,0,1
2019,25,Meningite pneumocócica,1,1,1,0,1
2019,26,Doença meningocócica,1,1,1,1,0
2019,26,Outras etiologias,3,2,2,1,1
2019,27,Meningite não especificada,2,2,2,1,1
2019,27,Outras etiologias,3,0,3,0,2
2019,28,Meningite não especificada,3,3,3,1,0
2019,28,Outras etiologias,4,0,4,0,2
2019,29,Meningite não especificada,1,1,1,0,1
2019,29,Meningite viral/asséptica,2,2,2,0,2
2019,29,Outras etiologias,3,0,3,0,2
2019,30,Meningite não especificada,1,1,1,0,1
2019,30,Meningite viral/asséptica,1,1,1,0,1
2019,30,Outras etiologias,1,0,1,0,1
2019,31,Meningite não especificada,3,3,3,1,0
2019,31,Meningite pneumocócica,1,1,1,0,1
2019,31,Meningite viral/asséptica,2,2,2,0,1
2019,31,Outras etiologias,5,0,5,0,4
2019,32,Meningite não especificada,2,2,2,0,2
2019,33,Meningite não especificada,2,2,2,0,2
2019,33,Meningite pneumocócica,1,1,1,0,1
2019,33,Meningite por Hib/Hemófilo,1,1,1,1,0
2019,33,Outras etiologias,2,0,2,0,2
2019,34,Meningite por Hib/Hemófilo,1,1,1,0,1
2019,34,Outras etiologias,2,0,2,0,2
2019,35,Meningite não especificada,1,1,1,0,1
2019,35,Outras etiologias,3,0,3,0,2
2019,36,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,36,Meningite não especificada,2,2,2,0,2
2019,36,Meningite pneumocócica,1,1,1,0,0
2019,36,Outras etiologias,2,0,2,0,2
2019,37,Meningite bacteriana/outras bactérias,2,2,2,0,2
2019,37,Outras etiologias,1,0,1,0,0
2019,38,Meningite fúngica,1,1,1,0,0
2019,38,Meningite não especificada,2,2,2,0,2
2019,38,Outras etiologias,3,0,2,0,2
2019,39,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,39,Meningite não especificada,1,1,1,0,0
2019,40,Meningite fúngica,1,1,1,0,1
2019,40,Meningite pneumocócica,1,1,1,0,1
2019,40,Meningite tuberculosa,1,1,1,0,1
2019,40,Meningite viral/asséptica,1,1,1,0,1
2019,40,Outras etiologias,1,0,0,0,1
2019,41,Meningite pneumocócica,1,1,1,0,0
2019,41,Outras etiologias,2,0,1,0,1
2019,43,Meningite viral/asséptica,1,1,1,0,1
2019,43,Outras etiologias,3,0,3,0,2
2019,44,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,44,Meningite tuberculosa,1,1,1,0,1
2019,44,Meningite viral/asséptica,1,1,1,0,1
2019,45,Meningite pneumocócica,2,2,2,0,2
2019,45,Outras etiologias,2,1,2,0,1
2019,46,Meningite viral/asséptica,1,1,1,0,1
2019,46,Outras etiologias,1,1,1,0,1
2019,47,Meningite bacteriana/outras bactérias,1,1,1,0,1
2019,47,Meningite fúngica,1,1,1,0,1
2019,47,Meningite viral/asséptica,1,1,1,0,1
2019,48,Meningite não especificada,2,2,2,0,2
2019,48,Meningite pneumocócica,1,1,1,0,0
2019,48,Meningite viral/asséptica,2,2,2,0,1
2019,48,Outras etiologias,1,0,0,0,0
2019,49,Meningite bacteriana/outras bactérias,2,2,2,0,1
2019,49,Meningite fúngica,1,1,1,0,1
2019,49,Meningite não especificada,4,3,4,1,2
2019,49,Meningite tuberculosa,1,1,1,0,1
2019,49,Outras etiologias,5,0,4,0,4
2019,50,Doença meningocócica,1,1,0,0,1
2019,50,Outras etiologias,3,0,1,0,0
2019,51,Meningite não especificada,1,1,0,0,1
2019,51,Outras etiologias,2,0,1,0,0
2019,52,Meningite não especificada,2,2,2,0,2
2019,52,Meningite viral/asséptica,1,1,1,0,1
2020,1,Meningite bacteriana/outras bactérias,1,1,1,0,0
2020,1,Meningite viral/asséptica,1,1,1,0,1
2020,1,Outras etiologias,1,0,1,0,1
2020,2,Meningite bacteriana/outras bactérias,1,1,1,0,0
2020,2,Meningite fúngica,1,1,1,0,0
2020,2,Meningite viral/asséptica,2,2,2,0,2
2020,3,Meningite não especificada,1,1,1,0,1
2020,3,Meningite viral/asséptica,1,1,1,0,1
2020,4,Meningite bacteriana/outras bactérias,2,2,2,0,1
2020,4,Outras etiologias,1,0,1,0,1
2020,5,Meningite não especificada,1,1,1,0,0
2020,6,Meningite bacteriana/outras bactérias,1,1,1,0,0
2020,6,Outras etiologias,2,0,2,0,2
2020,7,Meningite fúngica,1,1,1,0,1
2020,7,Outras etiologias,2,0,2,0,2
2020,8,Outras etiologias,3,0,3,0,2
2020,9,Meningite tuberculosa,1,1,1,0,1
2020,9,Outras etiologias,4,1,3,0,4
2020,10,Outras etiologias,3,0,3,0,3
2020,12,Meningite não especificada,1,1,1,0,1
2020,12,Meningite pneumocócica,1,1,1,0,1
2020,12,Outras etiologias,1,0,1,0,1
2020,13,Outras etiologias,4,1,4,0,2
2020,14,Outras etiologias,1,0,1,0,1
2020,15,Meningite bacteriana/outras bactérias,1,1,1,1,0
2020,15,Meningite tuberculosa,1,1,1,0,1
2020,15,Outras etiologias,1,1,1,0,1
2020,16,Meningite não especificada,1,1,1,0,0
2020,16,Outras etiologias,1,0,1,0,1
2020,17,Doença meningocócica,1,1,1,0,1
2020,18,Meningite pneumocócica,1,1,1,1,0
2020,18,Outras etiologias,2,0,2,0,2
2020,19,Meningite não especificada,1,1,1,0,1
2020,19,Meningite pneumocócica,1,1,1,0,0
2020,20,Doença meningocócica,1,1,1,0,1
2020,20,Meningite viral/asséptica,1,1,1,0,0
2020,21,Meningite bacteriana/outras bactérias,1,1,1,0,0
2020,21,Meningite fúngica,1,1,1,1,0
2020,21,Meningite viral/asséptica,1,1,1,0,0
2020,21,Outras etiologias,1,0,1,0,0
2020,22,Meningite não especificada,2,2,2,0,1
2020,22,Outras etiologias,1,0,1,0,1
2020,23,Outras etiologias,1,0,1,0,1
2020,26,Meningite não especificada,1,1,1,0,1
2020,26,Meningite pneumocócica,1,1,1,0,1
2020,29,Doença meningocócica,1,1,1,0,1
2020,29,Outras etiologias,1,0,1,0,0
2020,30,Meningite viral/asséptica,1,1,1,0,1
2020,31,Meningite tuberculosa,1,1,1,0,1
2020,31,Outras etiologias,1,0,1,0,0
2020,32,Meningite tuberculosa,1,1,1,0,0
2020,32,Outras etiologias,3,0,2,0,1
2020,33,Outras etiologias,1,0,1,0,1
2020,34,Meningite não especificada,2,2,2,0,2
2020,34,Outras etiologias,1,0,1,0,1
2020,35,Outras etiologias,1,0,1,0,0
2020,36,Meningite bacteriana/outras bactérias,1,1,1,0,0
2020,36,Outras etiologias,3,0,2,0,0
2020,38,Meningite não especificada,2,2,2,0,1
2020,38,Outras etiologias,2,0,2,0,1
2020,39,Outras etiologias,3,0,2,0,1
2020,40,Outras etiologias,2,0,1,0,2
2020,41,Meningite não especificada,2,2,2,2,0
2020,41,Outras etiologias,3,0,3,0,2
2020,42,Meningite bacteriana/outras bactérias,1,1,1,1,0
2020,42,Meningite tuberculosa,1,1,1,0,0
2020,43,Meningite não especificada,1,1,1,0,1
2020,43,Outras etiologias,2,0,2,0,1
2020,44,Meningite tuberculosa,1,1,1,0,1
2020,44,Outras etiologias,2,0,2,0,2
2020,45,Meningite não especificada,1,1,1,0,1
2020,46,Meningite fúngica,2,2,2,1,1
2020,46,Meningite viral/asséptica,1,1,1,0,1
2020,46,Outras etiologias,1,0,1,0,0
2020,47,Meningite fúngica,1,1,1,0,1
2020,47,Meningite pneumocócica,1,1,1,0,1
2020,48,Meningite não especificada,1,1,1,1,0
2020,48,Meningite pneumocócica,1,1,1,0,1
2020,48,Outras etiologias,1,0,0,0,0
2020,49,Meningite não especificada,1,1,1,0,1
2020,49,Outras etiologias,2,0,1,0,0
2020,50,Outras etiologias,1,0,1,0,1
2020,51,Meningite fúngica,1,1,1,0,0
2020,51,Meningite viral/asséptica,1,1,1,0,1
2020,51,Outras etiologias,2,0,2,0,2
2020,53,Meningite não especificada,1,1,1,0,0
2021,2,Meningite não especificada,1,1,1,1,0
2021,2,Outras etiologias,3,0,3,0,3
2021,3,Outras etiologias,3,0,2,0,1
2021,4,Outras etiologias,1,0,1,0,1
2021,5,Meningite não especificada,1,1,1,0,1
2021,5,Outras etiologias,1,0,0,0,0
2021,6,Meningite não especificada,1,1,1,1,0
2021,7,Meningite não especificada,1,1,1,0,1
2021,7,Meningite viral/asséptica,1,1,1,0,1
2021,8,Outras etiologias,1,0,0,0,0
2021,9,Meningite não especificada,1,1,1,0,1
2021,10,Meningite pneumocócica,1,1,1,1,0
2021,10,Outras etiologias,2,0,2,0,0
2021,11,Meningite viral/asséptica,1,1,1,0,0
2021,11,Outras etiologias,1,0,1,0,1
2021,12,Meningite viral/asséptica,1,1,1,0,1
2021,12,Outras etiologias,1,0,1,0,0
2021,13,Doença meningocócica,1,1,1,1,0
2021,13,Meningite tuberculosa,1,1,1,0,0
2021,14,Meningite não especificada,1,1,1,0,0
2021,15,Outras etiologias,1,0,1,0,1
2021,16,Meningite viral/asséptica,1,1,0,0,1
2021,16,Outras etiologias,1,1,1,0,1
2021,17,Outras etiologias,3,0,3,0,2
2021,18,Outras etiologias,1,0,0,0,0
2021,19,Outras etiologias,3,1,2,1,0
2021,21,Meningite fúngica,1,1,1,0,0
2021,21,Meningite pneumocócica,1,1,1,0,1
2021,22,Meningite bacteriana/outras bactérias,1,1,1,1,0
2021,22,Meningite tuberculosa,1,1,1,0,0
2021,22,Meningite viral/asséptica,1,1,1,0,0
2021,22,Outras etiologias,2,0,2,0,1
2021,23,Outras etiologias,1,0,1,0,1
2021,24,Meningite não especificada,1,1,1,0,1
2021,25,Meningite não especificada,2,2,2,1,1
2021,25,Meningite viral/asséptica,1,1,1,0,0
2021,27,Meningite não especificada,1,1,1,0,0
2021,28,Meningite viral/asséptica,1,1,0,0,1
2021,28,Outras etiologias,1,0,0,0,0
2021,30,Meningite não especificada,1,1,1,0,0
2021,30,Outras etiologias,2,0,2,0,1
2021,31,Doença meningocócica,1,1,1,0,1
2021,31,Meningite bacteriana/outras bactérias,1,1,1,0,0
2021,31,Meningite pneumocócica,1,1,1,1,0
2021,32,Outras etiologias,1,0,1,0,1
2021,33,Meningite não especificada,1,1,1,0,0
2021,34,Outras etiologias,1,0,1,0,1
2021,35,Meningite bacteriana/outras bactérias,1,1,1,0,1
2021,35,Meningite não especificada,1,1,1,0,1
2021,35,Outras etiologias,1,0,1,0,0
2021,36,Outras etiologias,4,0,4,0,1
2021,37,Meningite bacteriana/outras bactérias,1,1,1,1,0
2021,37,Meningite viral/asséptica,1,1,1,0,1
2021,37,Outras etiologias,1,1,1,0,1
2021,39,Outras etiologias,3,0,3,0,2
2021,40,Meningite não especificada,2,2,2,2,0
2021,40,Outras etiologias,1,0,1,0,0
2021,41,Doença meningocócica,1,1,1,0,0
2021,41,Meningite bacteriana/outras bactérias,1,1,1,0,1
2021,41,Outras etiologias,1,0,1,0,0
2021,42,Meningite bacteriana/outras bactérias,1,1,0,0,1
2021,42,Outras etiologias,2,2,1,1,1
2021,43,Meningite bacteriana/outras bactérias,1,1,1,0,0
2021,43,Meningite não especificada,1,1,1,0,1
2021,44,Meningite não especificada,1,1,1,1,0
2021,44,Outras etiologias,1,0,1,0,0
2021,45,Outras etiologias,2,0,1,0,1
2021,47,Meningite não especificada,1,1,1,0,0
2021,47,Outras etiologias,1,0,1,0,0
2021,48,Outras etiologias,1,1,1,0,0
2021,49,Meningite bacteriana/outras bactérias,1,1,0,1,0
2021,49,Meningite pneumocócica,1,1,1,0,1
2021,49,Outras etiologias,2,0,1,0,1
2021,50,Meningite viral/asséptica,1,1,1,0,1
2021,50,Outras etiologias,1,0,1,0,0
2021,51,Meningite bacteriana/outras bactérias,1,1,1,1,0
2021,51,Meningite fúngica,1,1,1,0,1
2021,52,Doença meningocócica,1,1,1,1,0
2021,52,Meningite fúngica,1,1,1,0,0
2021,52,Meningite tuberculosa,1,1,1,0,1
2022,1,Meningite não especificada,1,1,1,0,1
2022,1,Outras etiologias,1,0,1,0,1
2022,2,Meningite não especificada,1,1,1,0,1
2022,2,Meningite viral/asséptica,1,1,1,1,0
2022,2,Outras etiologias,1,1,0,0,1
2022,3,Meningite viral/asséptica,1,1,1,0,1
2022,3,Outras etiologias,3,0,3,0,2
2022,4,Meningite fúngica,1,1,1,0,0
2022,4,Meningite não especificada,1,1,1,0,1
2022,4,Outras etiologias,2,0,1,0,0
2022,6,Outras etiologias,1,0,1,0,0
2022,7,Meningite bacteriana/outras bactérias,1,1,1,0,1
2022,7,Outras etiologias,1,0,1,0,1
2022,8,Meningite não especificada,1,1,1,0,0
2022,8,Outras etiologias,2,0,1,0,1
2022,9,Meningite não especificada,1,1,1,1,0
2022,10,Meningite bacteriana/outras bactérias,1,1,1,1,0
2022,10,Outras etiologias,2,0,1,0,0
2022,11,Doença meningocócica,1,1,1,1,0
2022,11,Meningite fúngica,1,1,1,1,0
2022,11,Outras etiologias,1,0,0,0,0
2022,12,Meningite fúngica,1,1,1,0,1
2022,12,Meningite não especificada,1,1,1,0,1
2022,12,Outras etiologias,3,0,1,0,1
2022,13,Meningite fúngica,1,1,1,0,1
2022,13,Meningite não especificada,1,1,1,0,1
2022,13,Outras etiologias,5,0,5,0,1
2022,14,Meningite fúngica,1,1,1,0,0
2022,14,Meningite não especificada,1,1,1,0,1
2022,14,Outras etiologias,2,0,2,0,1
2022,15,Meningite bacteriana/outras bactérias,1,1,1,1,0
2022,15,Meningite não especificada,2,2,2,0,2
2022,15,Meningite pneumocócica,1,1,1,0,1
2022,15,Meningite viral/asséptica,1,1,1,0,1
2022,15,Outras etiologias,1,1,1,0,1
2022,16,Meningite não especificada,1,1,1,0,1
2022,16,Outras etiologias,5,0,5,0,2
2022,17,Meningite bacteriana/outras bactérias,1,1,1,0,0
2022,17,Meningite não especificada,1,1,1,0,1
2022,17,Meningite viral/asséptica,1,1,1,0,0
2022,18,Outras etiologias,1,0,1,0,0
2022,19,Meningite não especificada,1,1,1,0,1
2022,19,Meningite pneumocócica,1,1,1,0,1
2022,19,Meningite viral/asséptica,1,1,1,0,1
2022,19,Outras etiologias,4,0,3,0,2
2022,20,Meningite fúngica,1,1,1,0,1
2022,20,Meningite não especificada,2,2,2,0,1
2022,20,Meningite viral/asséptica,1,1,1,0,1
2022,20,Outras etiologias,1,0,1,0,1
2022,21,Meningite bacteriana/outras bactérias,1,1,1,0,1
2022,21,Meningite não especificada,1,1,1,0,1
2022,21,Outras etiologias,3,1,3,0,0
2022,22,Outras etiologias,2,0,1,0,0
2022,23,Meningite fúngica,1,1,1,0,0
2022,23,Meningite não especificada,2,2,2,1,1
2022,23,Outras etiologias,2,0,2,0,1
2022,24,Meningite viral/asséptica,2,2,2,1,1
2022,25,Meningite bacteriana/outras bactérias,1,1,1,0,1
2022,25,Meningite não especificada,1,1,1,0,1
2022,25,Meningite viral/asséptica,1,1,1,0,1
2022,25,Outras etiologias,3,0,3,0,3
2022,26,Meningite bacteriana/outras bactérias,2,2,2,1,1
2022,26,Meningite não especificada,1,1,1,0,1
2022,26,Outras etiologias,2,0,1,0,1
2022,27,Meningite não especificada,1,1,1,0,1
2022,27,Meningite viral/asséptica,1,1,1,0,1
2022,27,Outras etiologias,2,0,2,0,2
2022,28,Meningite bacteriana/outras bactérias,1,1,0,1,0
2022,28,Meningite não especificada,2,2,2,0,1
2022,28,Outras etiologias,2,0,1,0,1
2022,29,Meningite não especificada,1,1,1,0,1
2022,29,Meningite viral/asséptica,1,1,1,0,1
2022,29,Outras etiologias,1,0,1,0,0
2022,30,Meningite bacteriana/outras bactérias,1,1,1,0,1
2022,30,Meningite não especificada,2,2,2,1,0
2022,30,Outras etiologias,1,0,1,0,1
2022,31,Meningite não especificada,1,1,1,0,1
2022,31,Meningite tuberculosa,1,1,1,0,1
2022,31,Outras etiologias,3,0,3,0,2
2022,32,Meningite não especificada,1,1,1,0,1
2022,32,Meningite viral/asséptica,1,1,1,0,1
2022,32,Outras etiologias,2,0,2,0,1
2022,33,Outras etiologias,2,0,2,0,1
2022,34,Meningite fúngica,1,1,1,0,0
2022,34,Outras etiologias,2,0,1,0,1
2022,35,Meningite não especificada,1,1,1,0,1
2022,35,Outras etiologias,1,0,1,0,1
2022,36,Doença meningocócica,1,1,1,0,0
2022,37,Meningite pneumocócica,1,1,1,0,1
2022,37,Meningite viral/asséptica,1,1,1,0,1
2022,37,Outras etiologias,1,0,1,0,1
2022,38,Outras etiologias,3,1,3,0,0
2022,39,Outras etiologias,5,1,4,0,3
2022,40,Meningite bacteriana/outras bactérias,1,1,0,1,0
2022,40,Meningite não especificada,2,2,2,0,1
2022,40,Meningite viral/asséptica,1,1,1,0,1
2022,40,Outras etiologias,4,0,4,0,2
2022,41,Doença meningocócica,1,1,1,0,1
2022,41,Meningite viral/asséptica,1,1,1,0,1
2022,41,Outras etiologias,2,0,1,0,1
2022,42,Meningite não especificada,1,1,1,0,1
2022,42,Outras etiologias,2,0,2,0,1
2022,43,Outras etiologias,2,0,1,0,1
2022,44,Meningite bacteriana/outras bactérias,1,1,1,0,1
2022,44,Meningite não especificada,2,2,2,0,1
2022,44,Outras etiologias,2,0,2,0,1
2022,45,Doença meningocócica,1,1,1,1,0
2022,45,Meningite viral/asséptica,1,1,1,0,1
2022,45,Outras etiologias,3,0,3,0,3
2022,46,Outras etiologias,1,0,1,0,1
2022,47,Meningite bacteriana/outras bactérias,1,1,1,0,0
2022,47,Outras etiologias,2,0,2,0,2
2022,48,Meningite viral/asséptica,1,1,1,0,1
2022,48,Outras etiologias,6,0,6,0,3
2022,49,Meningite bacteriana/outras bactérias,2,2,2,0,2
2022,49,Meningite não especificada,1,1,1,0,1
2022,50,Meningite não especificada,1,1,1,0,1
2022,50,Meningite por Hib/Hemófilo,1,1,1,0,1
2022,50,Outras etiologias,2,0,2,0,2
2022,51,Meningite fúngica,1,1,1,0,0
2022,51,Meningite não especificada,1,1,1,0,1
2022,51,Outras etiologias,2,0,2,0,2
2022,52,Meningite pneumocócica,1,1,1,0,0
2023,1,Meningite fúngica,1,1,1,0,1
2023,1,Meningite não especificada,1,1,1,0,1
2023,1,Outras etiologias,4,0,4,0,4
2023,2,Meningite bacteriana/outras bactérias,1,1,1,0,1
2023,2,Meningite não especificada,3,3,3,0,1
2023,4,Meningite bacteriana/outras bactérias,1,1,1,1,0
2023,5,Meningite tuberculosa,1,1,1,0,1
2023,5,Meningite viral/asséptica,1,1,1,0,1
2023,5,Outras etiologias,2,0,2,0,2
2023,6,Doença meningocócica,1,1,1,0,1
2023,6,Meningite bacteriana/outras bactérias,3,3,3,0,2
2023,7,Meningite bacteriana/outras bactérias,1,1,1,0,0
2023,7,Meningite fúngica,1,1,1,0,1
2023,7,Meningite não especificada,1,1,1,0,1
2023,7,Outras etiologias,2,1,2,0,2
2023,8,Doença meningocócica,2,2,2,0,2
2023,8,Meningite bacteriana/outras bactérias,1,1,1,0,1
2023,8,Meningite não especificada,2,2,2,0,1
2023,8,Meningite pneumocócica,1,1,1,0,0
2023,8,Meningite por Hib/Hemófilo,1,1,1,0,1
2023,8,Outras etiologias,2,1,1,0,1
2023,9,Meningite bacteriana/outras bactérias,2,2,2,0,0
2023,9,Meningite não especificada,2,2,2,0,2
2023,9,Outras etiologias,2,1,2,0,0
2023,10,Meningite não especificada,1,1,1,0,0
2023,10,Meningite viral/asséptica,1,1,1,0,1
2023,10,Outras etiologias,2,0,2,0,2
2023,11,Meningite não especificada,4,4,4,0,4
2023,11,Outras etiologias,2,0,2,0,2
2023,12,Meningite fúngica,1,1,1,0,0
2023,12,Meningite não especificada,5,5,5,0,5
2023,12,Meningite viral/asséptica,3,3,3,0,3
2023,12,Outras etiologias,4,0,4,0,4
2023,13,Meningite não especificada,1,1,1,0,1
2023,13,Meningite pneumocócica,1,1,1,0,1
2023,13,Meningite viral/asséptica,1,1,1,0,1
2023,13,Outras etiologias,1,0,1,0,0
2023,14,Meningite não especificada,1,1,1,0,0
2023,14,Outras etiologias,4,0,3,0,4
2023,15,Meningite não especificada,1,1,1,0,0
2023,15,Meningite viral/asséptica,1,1,1,0,1
2023,15,Outras etiologias,6,0,5,0,5
2023,16,Outras etiologias,3,0,2,0,0
2023,17,Meningite bacteriana/outras bactérias,1,1,1,0,0
2023,17,Meningite não especificada,1,1,1,1,0
2023,17,Outras etiologias,5,0,5,0,4
2023,18,Meningite não especificada,1,1,1,0,1
2023,18,Meningite tuberculosa,1,1,1,0,0
2023,18,Outras etiologias,6,0,4,0,4
2023,19,Meningite viral/asséptica,1,1,1,0,0
2023,19,Outras etiologias,2,0,2,0,2
2023,20,Meningite não especificada,1,1,1,1,0
2023,20,Meningite tuberculosa,2,2,2,0,1
2023,20,Outras etiologias,4,1,4,0,2
2023,21,Meningite não especificada,1,1,1,0,1
2023,21,Outras etiologias,2,0,2,0,1
2023,22,Meningite não especificada,2,2,2,0,2
2023,22,Outras etiologias,5,0,4,0,1
2023,23,Meningite não especificada,1,1,1,0,1
2023,23,Meningite pneumocócica,1,1,1,1,0
2023,23,Outras etiologias,4,0,4,0,2
2023,24,Doença meningocócica,1,1,1,0,0
2023,24,Meningite não especificada,2,2,2,0,2
2023,24,Meningite pneumocócica,1,1,1,0,1
2023,24,Meningite viral/asséptica,1,1,1,0,1
2023,24,Outras etiologias,4,1,3,0,3
2023,25,Meningite bacteriana/outras bactérias,1,1,1,1,0
2023,25,Meningite não especificada,1,1,1,0,0
2023,25,Meningite por Hib/Hemófilo,1,1,1,0,1
2023,25,Outras etiologias,5,1,3,0,3
2023,26,Meningite não especificada,3,3,3,0,3
2023,26,Outras etiologias,2,0,0,0,1
2023,27,Doença meningocócica,1,1,1,0,0
2023,27,Meningite não especificada,2,2,2,1,1
2023,27,Outras etiologias,1,1,1,0,1
2023,28,Meningite não especificada,1,1,1,0,1
2023,28,Meningite viral/asséptica,1,1,1,0,1
2023,28,Outras etiologias,3,0,3,0,3
2023,29,Doença meningocócica,1,1,1,0,0
2023,29,Meningite não especificada,2,2,2,0,1
2023,29,Outras etiologias,4,0,2,0,2
2023,30,Meningite bacteriana/outras bactérias,2,2,2,1,1
2023,30,Outras etiologias,5,0,5,0,4
2023,31,Outras etiologias,11,2,11,0,9
2023,32,Outras etiologias,3,1,3,0,0
2023,33,Meningite não especificada,3,3,3,1,1
2023,33,Outras etiologias,1,0,1,0,1
2023,34,Meningite bacteriana/outras bactérias,1,1,0,1,0
2023,34,Outras etiologias,1,0,1,0,1
2023,35,Meningite não especificada,2,2,2,0,2
2023,35,Outras etiologias,4,0,4,0,0
