desfecho,horizonte_dias,valor_previsto,ic95_inferior,ic95_superior,modelos_no_ensemble
casos,7,1.9920086085329036,0.0,13.221262522477733,5
casos,15,4.301071922564933,0.0,28.417198507406045,5
casos,30,8.451469954936409,0.0,56.53051802427144,5
casos,45,12.606106959316106,0.0,84.63947384383187,5
hospitalizacoes,7,1.9211921919812633,0.0,9.37510228444816,5
hospitalizacoes,15,4.5695176080156275,0.0,21.152274582479258,5
hospitalizacoes,30,10.244399144921937,0.0,44.74529416909728,5
hospitalizacoes,45,16.232362544482037,0.0,69.24201335489661,5
obitos_meningite,7,0.0,0.0,0.0,5
obitos_meningite,15,0.0,0.0,0.0,5
obitos_meningite,30,0.0,0.0,0.0,5
obitos_meningite,45,0.0,0.0,0.0,5
incidencia,7,0.052587983078276654,0.0,0.34903440016636245,5
incidencia,15,0.1135460441854609,0.0,0.7501991446413037,5
incidencia,30,0.22311437665125838,0.0,1.4923760432220519,5
incidencia,45,0.33279461575605473,0.0,2.234437742481347,5
