ano_evento_v17,classificacao_agrupada_v17,faixa_informe_v23,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2007,Meningite não especificada,< 1 ano,22,22,0,2334495.0,municipal_soma_com_carry,2334495.0,0.9423879682757942,0.0,0.0
2007,Meningite não especificada,> 60 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2007,Meningite pneumocócica,1 a 4 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2007,Meningite pneumocócica,15 a 19 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite pneumocócica,20 a 29 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite pneumocócica,30 a 39 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite pneumocócica,40 a 49 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite pneumocócica,5 a 9 anos,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2007,Meningite pneumocócica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite pneumocócica,< 1 ano,5,5,3,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.12850745021942647,60.0
2007,Meningite por Hib/Hemófilo,1 a 4 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite por Hib/Hemófilo,< 1 ano,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2007,Meningite tuberculosa,40 a 49 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Meningite viral/asséptica,1 a 4 anos,34,34,0,2334495.0,municipal_soma_com_carry,2334495.0,1.4564177691535,0.0,0.0
2007,Meningite viral/asséptica,10 a 14 anos,23,23,0,2334495.0,municipal_soma_com_carry,2334495.0,0.9852237850156029,0.0,0.0
2007,Meningite viral/asséptica,15 a 19 anos,5,5,0,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.0,0.0
2007,Meningite viral/asséptica,20 a 29 anos,15,15,0,2334495.0,municipal_soma_com_carry,2334495.0,0.6425372510971324,0.0,0.0
2007,Meningite viral/asséptica,30 a 39 anos,11,11,0,2334495.0,municipal_soma_com_carry,2334495.0,0.4711939841378971,0.0,0.0
2007,Meningite viral/asséptica,40 a 49 anos,7,7,0,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.0,0.0
2007,Meningite viral/asséptica,5 a 9 anos,51,51,0,2334495.0,municipal_soma_com_carry,2334495.0,2.18462665373025,0.0,0.0
2007,Meningite viral/asséptica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
