ano_epi,semana_epi,casos,confirmados
2007,1,12,10
2007,2,16,10
2007,3,5,3
2007,4,8,5
2007,5,15,7
2007,6,16,12
2007,7,11,5
2007,8,13,9
2007,9,14,9
2007,10,18,13
2007,11,10,4
2007,12,20,12
2007,13,21,13
2007,14,26,14
2007,15,38,20
2007,16,22,11
2007,17,22,13
2007,18,15,8
2007,19,15,11
2007,20,15,9
2007,21,11,7
2007,22,12,8
2007,23,19,14
2007,24,11,3
2007,25,11,8
2007,26,20,13
2007,27,15,10
2007,28,8,5
2007,29,11,8
2007,30,3,2
2007,31,10,6
2007,32,6,2
2007,33,10,6
2007,34,9,5
2007,35,7,5
2007,36,5,3
2007,37,7,5
2007,38,4,3
2007,39,10,9
2007,40,7,5
2007,41,5,3
2007,42,18,11
2007,43,13,8
2007,44,8,7
2007,45,15,12
2007,46,8,3
2007,47,5,2
2007,48,9,7
2007,49,11,5
2007,50,13,9
2007,51,15,9
2007,52,14,10
2008,1,7,7
2008,2,18,10
2008,3,10,4
2008,4,9,5
2008,5,8,7
2008,6,7,5
2008,7,8,4
2008,8,13,6
2008,9,10,6
2008,10,4,3
2008,11,14,9
2008,12,6,3
2008,13,14,7
2008,14,14,9
2008,15,13,8
2008,16,5,4
2008,17,10,5
2008,18,8,6
2008,19,10,4
2008,20,12,11
2008,21,5,3
2008,22,6,4
2008,23,6,4
2008,24,11,8
2008,25,8,3
2008,26,11,6
2008,27,15,11
2008,28,12,8
2008,29,10,6
2008,30,11,6
2008,31,3,1
2008,32,13,5
2008,33,5,3
2008,34,4,0
2008,35,5,3
2008,36,9,4
2008,37,9,4
2008,38,7,5
2008,39,10,7
2008,40,7,3
2008,41,6,5
2008,42,8,6
2008,43,5,4
2008,44,2,1
2008,45,3,2
2008,46,10,7
2008,47,6,5
2008,48,10,7
2008,49,4,2
2008,50,10,6
2008,51,5,4
2008,52,4,1
2009,1,6,3
2009,2,6,4
2009,3,9,7
2009,4,14,5
2009,5,5,4
2009,6,4,2
2009,7,8,7
2009,8,8,4
2009,9,3,2
2009,10,9,6
2009,11,9,4
2009,12,11,6
2009,13,9,6
2009,14,14,4
2009,15,7,4
2009,16,7,4
2009,17,5,3
2009,18,5,4
2009,19,6,3
2009,20,6,4
2009,21,10,3
2009,22,6,3
2009,23,9,4
2009,24,12,6
2009,25,13,7
2009,26,1,1
2009,27,10,7
2009,28,4,3
2009,29,4,3
2009,30,4,3
2009,31,17,12
2009,32,7,6
2009,33,10,6
2009,34,6,3
2009,35,6,3
2009,36,8,3
2009,37,7,3
2009,38,5,3
2009,39,3,2
2009,40,8,7
2009,41,4,3
2009,42,3,2
2009,43,3,2
2009,44,3,3
2009,45,8,4
2009,46,4,4
2009,47,12,4
2009,48,6,4
2009,49,6,5
2009,50,7,4
2009,51,7,5
2009,52,2,2
2009,53,6,5
2010,1,5,3
2010,2,1,0
2010,3,4,1
2010,4,5,2
2010,5,5,2
2010,6,2,1
2010,7,10,6
2010,8,2,0
2010,9,7,4
2010,10,7,4
2010,11,3,1
2010,12,5,2
2010,13,6,4
2010,14,5,5
2010,15,6,3
2010,16,7,2
2010,17,7,7
2010,18,8,2
2010,19,10,6
2010,20,2,2
2010,21,6,5
2010,22,6,1
2010,23,14,9
2010,24,7,5
2010,25,7,5
2010,26,5,4
2010,27,2,2
2010,28,8,5
2010,29,6,4
2010,30,6,4
2010,31,6,5
2010,32,6,3
2010,33,6,5
2010,34,4,1
