ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_municipio,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2007,510562,MIRASSOL D OESTE,CACERES,5,5,0,2334495.0,municipal_soma_com_carry,27941.0,27941.0,17.894849862209657,0.0,0.0
2007,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,11694.0,11694.0,8.551393877201985,0.0,0.0
2007,510615,NOVA BANDEIRANTES,ALTA FLORESTA,2,2,2,2334495.0,municipal_soma_com_carry,15685.0,15685.0,12.75103602167676,12.75103602167676,100.0
2007,510618,NOVA LACERDA,PONTES E LACERDA,1,1,0,2334495.0,municipal_soma_com_carry,4431.0,4431.0,22.568269013766646,0.0,0.0
2007,510622,NOVA MUTUM,SINOP,4,4,0,2334495.0,municipal_soma_com_carry,46813.0,46813.0,8.54463503727597,0.0,0.0
2007,510625,NOVA XAVANTINA,BARRA DO GARCAS,3,3,0,2334495.0,municipal_soma_com_carry,20944.0,20944.0,14.323911382734913,0.0,0.0
2007,510629,PARANAITA,ALTA FLORESTA,6,6,0,2334495.0,municipal_soma_com_carry,22861.0,22861.0,26.24557105988364,0.0,0.0
2007,510630,PARANATINGA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,22861.0,22861.0,4.37426184331394,0.0,0.0
2007,510637,PEDRA PRETA,RONDONOPOLIS,1,1,1,2334495.0,municipal_soma_com_carry,17547.0,17547.0,5.698979882601015,5.698979882601015,100.0
2007,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,1,0,2334495.0,municipal_soma_com_carry,35338.0,35338.0,2.8298149301035713,0.0,0.0
2007,510650,POCONE,CUIABA,8,8,2,2334495.0,municipal_soma_com_carry,31217.0,31217.0,25.62706217765961,6.4067655444149025,25.0
2007,510675,PONTES E LACERDA,PONTES E LACERDA,6,6,1,2334495.0,municipal_soma_com_carry,45774.0,45774.0,13.107877834578582,2.184646305763097,16.666666666666664
2007,510682,PORTO ESPERIDIAO,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,12176.0,12176.0,8.21287779237845,0.0,0.0
2007,510685,PORTO ESTRELA,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,15936.0,15936.0,6.275100401606425,0.0,0.0
2007,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,3,3,0,2334495.0,municipal_soma_com_carry,63092.0,63092.0,4.754961009319723,0.0,0.0
2007,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,18846.0,18846.0,5.306165764618487,0.0,0.0
2007,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,3,3,0,2334495.0,municipal_soma_com_carry,21011.0,21011.0,14.278235210128027,0.0,0.0
2007,510740,SAO PEDRO DA CIPA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,4191.0,4191.0,23.860653781913623,0.0,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,66,66,1,2334495.0,municipal_soma_com_carry,236042.0,236042.0,27.96112556239991,0.4236534176121199,1.5151515151515151
2007,510770,ROSARIO OESTE,DIAMANTINO,1,1,1,2334495.0,municipal_soma_com_carry,15236.0,15236.0,6.563402467839328,6.563402467839328,100.0
2007,510777,SANTA TEREZINHA,PORTO ALEGRE DO NORTE,1,1,0,2334495.0,municipal_soma_com_carry,16999.0,16999.0,5.882698982293076,0.0,0.0
2007,510780,SANTO ANTONIO DO LEVERGER,CUIABA,6,6,0,2334495.0,municipal_soma_com_carry,16999.0,16999.0,35.296193893758456,0.0,0.0
2007,510787,SAPEZAL,TANGARA DA SERRA,4,4,1,2334495.0,municipal_soma_com_carry,26688.0,26688.0,14.988009592326138,3.7470023980815346,25.0
2007,510790,SINOP,SINOP,25,25,1,2334495.0,municipal_soma_com_carry,148960.0,148960.0,16.783029001074112,0.6713211600429646,4.0
2007,510792,SORRISO,SINOP,6,6,2,2334495.0,municipal_soma_com_carry,92769.0,92769.0,6.467677780292985,2.155892593430995,33.33333333333333
2007,510794,TABAPORA,JUARA,1,1,1,2334495.0,municipal_soma_com_carry,9932.0,9932.0,10.068465565847765,10.068465565847765,100.0
2007,510795,TANGARA DA SERRA,TANGARA DA SERRA,7,7,0,2334495.0,municipal_soma_com_carry,105711.0,105711.0,6.62182743517704,0.0,0.0
