ano_dose_v34,regional_v34,imuno_grupo_v34,n_doses
2024,JUINA,Meningocócica (outra),7510
2024,JUINA,Penta/Hexa (Hib),5315
2024,JUINA,MenACWY,130
2024,JUINA,MenC,122
2024,PEIXOTO DE AZEVEDO,Hib,7167
2024,PEIXOTO DE AZEVEDO,Meningocócica (outra),6171
2024,PEIXOTO DE AZEVEDO,Penta/Hexa (Hib),4305
2024,PEIXOTO DE AZEVEDO,MenC,323
2024,PEIXOTO DE AZEVEDO,MenACWY,6
2024,PONTES E LACERDA,Hib,7953
2024,PONTES E LACERDA,Meningocócica (outra),6872
2024,PONTES E LACERDA,Penta/Hexa (Hib),4803
2024,PONTES E LACERDA,MenC,55
2024,PONTES E LACERDA,MenACWY,13
2024,PORTO ALEGRE DO NORTE,Meningocócica (outra),5198
2024,PORTO ALEGRE DO NORTE,Hib,5165
2024,PORTO ALEGRE DO NORTE,Penta/Hexa (Hib),3328
2024,PORTO ALEGRE DO NORTE,MenC,61
2024,PORTO ALEGRE DO NORTE,MenACWY,7
2024,RONDONOPOLIS,Hib,36011
2024,RONDONOPOLIS,Meningocócica (outra),27174
2024,RONDONOPOLIS,Penta/Hexa (Hib),18742
2024,RONDONOPOLIS,MenC,1003
2024,RONDONOPOLIS,MenACWY,234
2024,SAO FELIX DO ARAGUAIA,Hib,2002
2024,SAO FELIX DO ARAGUAIA,Meningocócica (outra),1155
2024,SAO FELIX DO ARAGUAIA,Penta/Hexa (Hib),940
2024,SAO FELIX DO ARAGUAIA,MenC,100
2024,SAO FELIX DO ARAGUAIA,MenACWY,12
2024,SINOP,Hib,49942
2024,SINOP,Meningocócica (outra),30911
2024,SINOP,Penta/Hexa (Hib),22063
2024,SINOP,MenC,1394
2024,SINOP,MenACWY,171
2024,Sem regional,Meningocócica (outra),118
2024,Sem regional,Penta/Hexa (Hib),60
2024,Sem regional,Hib,51
2024,Sem regional,MenC,2
2024,TANGARA DA SERRA,Hib,20257
2024,TANGARA DA SERRA,Meningocócica (outra),14148
2024,TANGARA DA SERRA,Penta/Hexa (Hib),9826
2024,TANGARA DA SERRA,MenACWY,524
2024,TANGARA DA SERRA,MenC,311
2023,AGUA BOA,Hib,7671
2023,AGUA BOA,Meningocócica (outra),6959
2023,AGUA BOA,Penta/Hexa (Hib),4683
2023,AGUA BOA,MenC,379
2023,AGUA BOA,MenACWY,84
2023,ALTA FLORESTA,Hib,5865
2023,ALTA FLORESTA,Meningocócica (outra),5308
2023,ALTA FLORESTA,Penta/Hexa (Hib),3656
2023,ALTA FLORESTA,MenC,84
2023,ALTA FLORESTA,MenACWY,61
2023,BARRA DO GARCAS,Hib,7595
2023,BARRA DO GARCAS,Meningocócica (outra),6458
2023,BARRA DO GARCAS,Penta/Hexa (Hib),4506
2023,BARRA DO GARCAS,MenACWY,129
2023,BARRA DO GARCAS,MenC,124
2023,CACERES,Hib,10778
2023,CACERES,Meningocócica (outra),7568
2023,CACERES,Penta/Hexa (Hib),5334
2023,CACERES,MenACWY,56
2023,CACERES,MenC,43
2023,COLIDER,Hib,4035
2023,COLIDER,Meningocócica (outra),3561
2023,COLIDER,Penta/Hexa (Hib),2066
2023,COLIDER,MenC,100
2023,COLIDER,MenACWY,6
2023,CUIABA,Hib,59205
2023,CUIABA,Meningocócica (outra),40183
2023,CUIABA,Penta/Hexa (Hib),26452
2023,CUIABA,MenACWY,753
2023,CUIABA,MenC,623
2023,DIAMANTINO,Hib,6843
2023,DIAMANTINO,Meningocócica (outra),4597
2023,DIAMANTINO,Penta/Hexa (Hib),2945
2023,DIAMANTINO,MenC,30
2023,DIAMANTINO,MenACWY,20
2023,JUARA,Hib,3392
2023,JUARA,Meningocócica (outra),3107
2023,JUARA,Penta/Hexa (Hib),1979
2023,JUARA,MenC,55
2023,JUARA,MenACWY,6
2023,JUINA,Hib,8108
2023,JUINA,Meningocócica (outra),6897
2023,JUINA,Penta/Hexa (Hib),4770
2023,JUINA,MenACWY,45
2023,JUINA,MenC,37
2023,PEIXOTO DE AZEVEDO,Hib,6312
2023,PEIXOTO DE AZEVEDO,Meningocócica (outra),6101
2023,PEIXOTO DE AZEVEDO,Penta/Hexa (Hib),3679
2023,PEIXOTO DE AZEVEDO,MenC,23
2023,PEIXOTO DE AZEVEDO,MenACWY,10
2023,PONTES E LACERDA,Hib,7758
2023,PONTES E LACERDA,Meningocócica (outra),6135
2023,PONTES E LACERDA,Penta/Hexa (Hib),3990
2023,PONTES E LACERDA,MenACWY,31
2023,PONTES E LACERDA,MenC,10
2023,PORTO ALEGRE DO NORTE,Meningocócica (outra),4691
2023,PORTO ALEGRE DO NORTE,Hib,4297
2023,PORTO ALEGRE DO NORTE,Penta/Hexa (Hib),2891
2023,PORTO ALEGRE DO NORTE,MenC,20
2023,PORTO ALEGRE DO NORTE,MenACWY,9
2023,RONDONOPOLIS,Hib,31963
2023,RONDONOPOLIS,Meningocócica (outra),25838
2023,RONDONOPOLIS,Penta/Hexa (Hib),17432
2023,RONDONOPOLIS,MenC,585
2023,RONDONOPOLIS,MenACWY,363
2023,SAO FELIX DO ARAGUAIA,Hib,1551
2023,SAO FELIX DO ARAGUAIA,Meningocócica (outra),1270
2023,SAO FELIX DO ARAGUAIA,Penta/Hexa (Hib),927
2023,SAO FELIX DO ARAGUAIA,MenACWY,27
2023,SAO FELIX DO ARAGUAIA,MenC,21
2023,SINOP,Hib,49194
2023,SINOP,Meningocócica (outra),29375
2023,SINOP,Penta/Hexa (Hib),19712
2023,SINOP,MenC,643
2023,SINOP,MenACWY,75
2023,Sem regional,Meningocócica (outra),75
2023,Sem regional,Penta/Hexa (Hib),69
2023,Sem regional,Hib,49
2023,TANGARA DA SERRA,Hib,19153
2023,TANGARA DA SERRA,Meningocócica (outra),13390
2023,TANGARA DA SERRA,Penta/Hexa (Hib),7709
2023,TANGARA DA SERRA,MenACWY,297
2023,TANGARA DA SERRA,MenC,126
2022,AGUA BOA,Hib,9657
2022,AGUA BOA,Meningocócica (outra),7870
2022,AGUA BOA,Penta/Hexa (Hib),4325
2022,AGUA BOA,MenC,50
2022,AGUA BOA,MenACWY,1
2022,ALTA FLORESTA,Hib,5667
2022,ALTA FLORESTA,Meningocócica (outra),5604
2022,ALTA FLORESTA,Penta/Hexa (Hib),3174
2022,ALTA FLORESTA,MenACWY,4
2022,ALTA FLORESTA,MenC,4
2022,BARRA DO GARCAS,Hib,9888
2022,BARRA DO GARCAS,Meningocócica (outra),7220
2022,BARRA DO GARCAS,Penta/Hexa (Hib),3943
2022,BARRA DO GARCAS,MenACWY,180
2022,BARRA DO GARCAS,MenC,33
2022,CACERES,Hib,13549
2022,CACERES,Meningocócica (outra),9381
2022,CACERES,Penta/Hexa (Hib),5783
2022,CACERES,MenC,12
2022,CACERES,MenACWY,5
2022,COLIDER,Hib,4429
2022,COLIDER,Meningocócica (outra),3850
2022,COLIDER,Penta/Hexa (Hib),2225
2022,COLIDER,MenC,6
2022,COLIDER,MenACWY,2
2022,CUIABA,Hib,56491
2022,CUIABA,Meningocócica (outra),42610
2022,CUIABA,Penta/Hexa (Hib),27780
2022,CUIABA,MenC,195
2022,CUIABA,MenACWY,59
2022,DIAMANTINO,Hib,8831
2022,DIAMANTINO,Meningocócica (outra),4505
2022,DIAMANTINO,Penta/Hexa (Hib),2821
2022,DIAMANTINO,MenC,15
2022,DIAMANTINO,MenACWY,14
2022,JUARA,Hib,4714
2022,JUARA,Meningocócica (outra),3432
2022,JUARA,Penta/Hexa (Hib),2096
2022,JUARA,MenC,6
2022,JUARA,MenACWY,2
2022,JUINA,Hib,9821
2022,JUINA,Meningocócica (outra),6990
2022,JUINA,Penta/Hexa (Hib),4465
2022,JUINA,MenACWY,22
2022,JUINA,MenC,20
2022,PEIXOTO DE AZEVEDO,Hib,6582
2022,PEIXOTO DE AZEVEDO,Meningocócica (outra),5832
2022,PEIXOTO DE AZEVEDO,Penta/Hexa (Hib),3084
2022,PEIXOTO DE AZEVEDO,MenC,5
2022,PEIXOTO DE AZEVEDO,MenACWY,2
2022,PONTES E LACERDA,Hib,7142
2022,PONTES E LACERDA,Meningocócica (outra),6005
2022,PONTES E LACERDA,Penta/Hexa (Hib),4133
2022,PONTES E LACERDA,MenACWY,4
2022,PONTES E LACERDA,MenC,1
2022,PORTO ALEGRE DO NORTE,Meningocócica (outra),6537
2022,PORTO ALEGRE DO NORTE,Hib,6446
2022,PORTO ALEGRE DO NORTE,Penta/Hexa (Hib),3538
2022,PORTO ALEGRE DO NORTE,MenC,3
2022,RONDONOPOLIS,Hib,32710
2022,RONDONOPOLIS,Meningocócica (outra),26417
2022,RONDONOPOLIS,Penta/Hexa (Hib),16709
2022,RONDONOPOLIS,MenC,84
