ano_dose_v34,codigo_municipio_v34,municipio_v34,regional_v34,imuno_grupo_v34,faixa_risco_v34,n_doses
2025,510830,,SINOP,Hib,Ignorado,212
2025,510885,,TANGARA DA SERRA,Hib,Ignorado,204
2025,510010,,CUIABA,Hib,Ignorado,202
2025,510680,,JUARA,Hib,Ignorado,202
2025,510724,,SINOP,Hib,Ignorado,199
2025,510455,,COLIDER,Hib,Ignorado,198
2025,510645,,CUIABA,Hib,Ignorado,191
2025,510775,,CACERES,Hib,Ignorado,189
2025,510779,,RONDONOPOLIS,Hib,Ignorado,187
2025,510390,,BARRA DO GARCAS,Hib,Ignorado,185
2025,510360,,RONDONOPOLIS,Hib,Ignorado,172
2025,510880,,COLIDER,Hib,Ignorado,161
2025,510620,,CUIABA,Hib,Ignorado,151
2025,510810,,RONDONOPOLIS,Hib,Ignorado,142
2025,510726,,TANGARA DA SERRA,Hib,Ignorado,140
2025,510774,,PORTO ALEGRE DO NORTE,Hib,Ignorado,135
2025,510720,,CACERES,Hib,Ignorado,131
2025,510269,,PORTO ALEGRE DO NORTE,Hib,Ignorado,112
2025,510685,,TANGARA DA SERRA,Hib,Ignorado,111
2025,510627,,JUARA,Hib,Ignorado,105
2025,510729,,RONDONOPOLIS,Hib,Ignorado,103
2025,510820,,BARRA DO GARCAS,Hib,Ignorado,92
2025,510719,,BARRA DO GARCAS,Hib,Ignorado,90
2025,510380,,PONTES E LACERDA,Hib,Ignorado,89
2025,510715,,CACERES,Hib,Ignorado,83
2025,510450,,CACERES,Hib,Ignorado,82
2025,510835,,PONTES E LACERDA,Hib,Ignorado,68
2025,510631,,SAO FELIX DO ARAGUAIA,Hib,Ignorado,64
2025,510530,,SAO FELIX DO ARAGUAIA,Hib,Ignorado,41
2025,510670,,BARRA DO GARCAS,Hib,Ignorado,40
2025,510120,,RONDONOPOLIS,Hib,Ignorado,33
2025,510757,,Sem regional,Hib,Ignorado,26
2025,510183,,Sem regional,Hib,Ignorado,12
2025,510340,,CUIABA,MenACWY,Ignorado,188
2025,510792,,SINOP,MenACWY,Ignorado,182
2025,510760,,RONDONOPOLIS,MenACWY,Ignorado,28
2025,510515,,JUINA,MenACWY,Ignorado,19
2025,510180,,BARRA DO GARCAS,MenACWY,Ignorado,17
2025,510622,,SINOP,MenACWY,Ignorado,14
2025,510790,,SINOP,MenACWY,Ignorado,14
2025,510840,,CUIABA,MenACWY,Ignorado,9
2025,510675,,PONTES E LACERDA,MenACWY,Ignorado,6
2025,510637,,RONDONOPOLIS,MenACWY,Ignorado,5
2025,510788,,SAO FELIX DO ARAGUAIA,MenACWY,Ignorado,5
2025,510337,,JUINA,MenACWY,Ignorado,4
2025,510480,,RONDONOPOLIS,MenACWY,Ignorado,4
2025,510704,,RONDONOPOLIS,MenACWY,Ignorado,4
2025,510730,,DIAMANTINO,MenACWY,Ignorado,4
2025,510250,,CACERES,MenACWY,Ignorado,3
2025,510320,,COLIDER,MenACWY,Ignorado,3
2025,510325,,JUINA,MenACWY,Ignorado,3
2025,510300,,CUIABA,MenACWY,Ignorado,2
2025,510350,,DIAMANTINO,MenACWY,Ignorado,2
2025,510525,,SINOP,MenACWY,Ignorado,2
2025,510629,,ALTA FLORESTA,MenACWY,Ignorado,2
2025,510780,,CUIABA,MenACWY,Ignorado,2
2025,510805,,PEIXOTO DE AZEVEDO,MenACWY,Ignorado,2
2025,510030,,RONDONOPOLIS,MenACWY,Ignorado,1
2025,510040,,RONDONOPOLIS,MenACWY,Ignorado,1
2025,510130,,TANGARA DA SERRA,MenACWY,Ignorado,1
2025,510269,,PORTO ALEGRE DO NORTE,MenACWY,Ignorado,1
2025,510285,,JUINA,MenACWY,Ignorado,1
2025,510310,,AGUA BOA,MenACWY,Ignorado,1
2025,510395,,CACERES,MenACWY,Ignorado,1
2025,510420,,RONDONOPOLIS,MenACWY,Ignorado,1
2025,510460,,RONDONOPOLIS,MenACWY,Ignorado,1
2025,510510,,JUARA,MenACWY,Ignorado,1
2025,510558,,COLIDER,MenACWY,Ignorado,1
2025,510562,,CACERES,MenACWY,Ignorado,1
2025,510621,,COLIDER,MenACWY,Ignorado,1
2025,510625,,BARRA DO GARCAS,MenACWY,Ignorado,1
2025,510630,,RONDONOPOLIS,MenACWY,Ignorado,1
2025,510650,,CUIABA,MenACWY,Ignorado,1
2025,510700,,RONDONOPOLIS,MenACWY,Ignorado,1
2025,510770,,DIAMANTINO,MenACWY,Ignorado,1
2025,510777,,PORTO ALEGRE DO NORTE,MenACWY,Ignorado,1
2025,510880,,COLIDER,MenACWY,Ignorado,1
2025,510340,,CUIABA,MenC,Ignorado,2954
2025,510790,,SINOP,MenC,Ignorado,793
2025,510622,,SINOP,MenC,Ignorado,526
2025,510250,,CACERES,MenC,Ignorado,373
2025,510792,,SINOP,MenC,Ignorado,288
2025,510020,,AGUA BOA,MenC,Ignorado,279
2025,510525,,SINOP,MenC,Ignorado,268
2025,510760,,RONDONOPOLIS,MenC,Ignorado,230
2025,510320,,COLIDER,MenC,Ignorado,221
2025,510268,,PONTES E LACERDA,MenC,Ignorado,214
2025,510267,,RONDONOPOLIS,MenC,Ignorado,198
2025,510704,,RONDONOPOLIS,MenC,Ignorado,198
2025,510642,,PEIXOTO DE AZEVEDO,MenC,Ignorado,173
2025,510617,,AGUA BOA,MenC,Ignorado,167
2025,510523,,CACERES,MenC,Ignorado,154
2025,510840,,CUIABA,MenC,Ignorado,152
2025,510385,,AGUA BOA,MenC,Ignorado,150
2025,510260,,BARRA DO GARCAS,MenC,Ignorado,148
2025,510140,,JUINA,MenC,Ignorado,147
2025,510706,,AGUA BOA,MenC,Ignorado,135
2025,510270,,AGUA BOA,MenC,Ignorado,130
2025,510515,,JUINA,MenC,Ignorado,127
2025,510718,,AGUA BOA,MenC,Ignorado,127
2025,510410,,PEIXOTO DE AZEVEDO,MenC,Ignorado,119
2025,510025,,ALTA FLORESTA,MenC,Ignorado,118
2025,510452,,SINOP,MenC,Ignorado,102
2025,510795,,TANGARA DA SERRA,MenC,Ignorado,100
2025,510629,,ALTA FLORESTA,MenC,Ignorado,82
2025,510335,,PORTO ALEGRE DO NORTE,MenC,Ignorado,80
2025,510682,,CACERES,MenC,Ignorado,76
2025,510562,,CACERES,MenC,Ignorado,74
2025,510170,,TANGARA DA SERRA,MenC,Ignorado,72
2025,510735,,PORTO ALEGRE DO NORTE,MenC,Ignorado,71
2025,510370,,SINOP,MenC,Ignorado,64
2025,510558,,COLIDER,MenC,Ignorado,56
2025,510325,,JUINA,MenC,Ignorado,51
2025,510517,,JUINA,MenC,Ignorado,50
2025,510624,,SINOP,MenC,Ignorado,48
2025,510330,,PONTES E LACERDA,MenC,Ignorado,45
2025,510263,,TANGARA DA SERRA,MenC,Ignorado,43
2025,510190,,JUINA,MenC,Ignorado,42
2025,510510,,JUARA,MenC,Ignorado,40
2025,510180,,BARRA DO GARCAS,MenC,Ignorado,37
2025,510630,,RONDONOPOLIS,MenC,Ignorado,34
2025,510560,,PEIXOTO DE AZEVEDO,MenC,Ignorado,31
2025,510010,,CUIABA,MenC,Ignorado,30
2025,510480,,RONDONOPOLIS,MenC,Ignorado,29
2025,510600,,DIAMANTINO,MenC,Ignorado,29
2025,510787,,TANGARA DA SERRA,MenC,Ignorado,29
2025,510080,,ALTA FLORESTA,MenC,Ignorado,28
2025,510800,,SINOP,MenC,Ignorado,25
2025,510675,,PONTES E LACERDA,MenC,Ignorado,23
2025,510285,,JUINA,MenC,Ignorado,22
2025,510300,,CUIABA,MenC,Ignorado,22
2025,510130,,TANGARA DA SERRA,MenC,Ignorado,20
2025,510350,,DIAMANTINO,MenC,Ignorado,19
2025,510645,,CUIABA,MenC,Ignorado,19
2025,510680,,JUARA,MenC,Ignorado,18
2025,510395,,CACERES,MenC,Ignorado,17
2025,510520,,RONDONOPOLIS,MenC,Ignorado,17
2025,510279,,ALTA FLORESTA,MenC,Ignorado,15
2025,510625,,BARRA DO GARCAS,MenC,Ignorado,14
2025,510650,,CUIABA,MenC,Ignorado,14
2025,510895,,ALTA FLORESTA,MenC,Ignorado,14
2025,510794,,JUARA,MenC,Ignorado,13
2025,510030,,RONDONOPOLIS,MenC,Ignorado,12
2025,510500,,PONTES E LACERDA,MenC,Ignorado,12
2025,510621,,COLIDER,MenC,Ignorado,12
2025,510780,,CUIABA,MenC,Ignorado,12
2025,510890,,DIAMANTINO,MenC,Ignorado,12
2025,510785,,SAO FELIX DO ARAGUAIA,MenC,Ignorado,11
2025,510035,,SAO FELIX DO ARAGUAIA,MenC,Ignorado,10
2025,510337,,JUINA,MenC,Ignorado,10
2025,510637,,RONDONOPOLIS,MenC,Ignorado,10
2025,510730,,DIAMANTINO,MenC,Ignorado,10
2025,510770,,DIAMANTINO,MenC,Ignorado,10
2025,510860,,PORTO ALEGRE DO NORTE,MenC,Ignorado,10
2025,510305,,SINOP,MenC,Ignorado,9
2025,510040,,RONDONOPOLIS,MenC,Ignorado,8
2025,510125,,CACERES,MenC,Ignorado,8
2025,510160,,CUIABA,MenC,Ignorado,7
2025,510590,,DIAMANTINO,MenC,Ignorado,7
2025,510700,,RONDONOPOLIS,MenC,Ignorado,7
2025,510805,,PEIXOTO DE AZEVEDO,MenC,Ignorado,7
2025,510185,,AGUA BOA,MenC,Ignorado,6
2025,510420,,RONDONOPOLIS,MenC,Ignorado,6
2025,510615,,ALTA FLORESTA,MenC,Ignorado,6
2025,510776,,SINOP,MenC,Ignorado,6
2025,510455,,COLIDER,MenC,Ignorado,5
2025,510490,,CUIABA,MenC,Ignorado,5
2025,510724,,SINOP,MenC,Ignorado,5
2025,510779,,RONDONOPOLIS,MenC,Ignorado,5
