codigo_municipio_v17,municipio_v17,regional_v17,casos_total,campos_avaliados,comp_DataNotificacao,comp_DataPrimeirosSintomas,comp_MunicipioResidencia,comp_CodigoMunicipioResidencia,comp_SexoPaciente,comp_IdadePaciente,comp_FaixaEtaria,comp_ClassificacaoCaso,comp_ClassificacaoMeningite,comp_EvolucaoCaso,comp_SeNMeningiditisEspecificarSorogrupo,comp_PuncaoLombar,comp_ResultadoPCRLiquor,comp_ResultadoCulturaLiquor,comp_CriterioConfirmacao,comp_DataEncerramento,pct_completude_media,campo_pior,pct_campo_pior,ranking_completude
510185,BOM JESUS DO ARAGUAIA,AGUA BOA,7,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.42857142857143,28.57142857142857,71.42857142857143,0.0,100.0,0.0,14.285714285714285,28.57142857142857,71.42857142857143,67.85714285714286,SeNMeningiditisEspecificarSorogrupo,0.0,117.0
510050,ALTO PARAGUAI,DIAMANTINO,14,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.57142857142857,35.714285714285715,50.0,0.0,64.28571428571429,14.285714285714285,21.428571428571427,42.857142857142854,78.57142857142857,67.85714285714286,SeNMeningiditisEspecificarSorogrupo,0.0,117.0
510452,IPIRANGA DO NORTE,SINOP,7,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.14285714285714,57.14285714285714,42.857142857142854,0.0,71.42857142857143,0.0,42.857142857142854,57.14285714285714,57.14285714285714,67.85714285714286,SeNMeningiditisEspecificarSorogrupo,0.0,117.0
510100,ARAGUAIANA,BARRA DO GARCAS,8,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,37.5,62.5,0.0,87.5,12.5,0.0,37.5,75.0,67.96875,SeNMeningiditisEspecificarSorogrupo,0.0,116.0
510558,MARCELANDIA,COLIDER,26,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.61538461538461,34.61538461538461,61.53846153846154,0.0,73.07692307692307,3.8461538461538463,23.076923076923077,38.46153846153847,76.92307692307693,68.50961538461539,SeNMeningiditisEspecificarSorogrupo,0.0,115.0
510619,NOVA SANTA HELENA,COLIDER,6,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,66.66666666666666,0.0,100.0,16.666666666666664,16.666666666666664,0.0,100.0,68.75,ClassificacaoMeningite,0.0,108.0
510645,PLANALTO DA SERRA,CUIABA,3,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,66.66666666666666,0.0,66.66666666666666,0.0,0.0,33.33333333333333,100.0,68.75,SeNMeningiditisEspecificarSorogrupo,0.0,108.0
510726,SANTO AFONSO,TANGARA DA SERRA,4,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,50.0,25.0,0.0,100.0,25.0,25.0,25.0,75.0,68.75,SeNMeningiditisEspecificarSorogrupo,0.0,108.0
510776,SANTA RITA DO TRIVELATO,SINOP,1,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,68.75,ClassificacaoMeningite,0.0,108.0
510788,SERRA NOVA DOURADA,SAO FELIX DO ARAGUAIA,1,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,68.75,ClassificacaoMeningite,0.0,108.0
510719,RIBEIRAOZINHO,BARRA DO GARCAS,1,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,68.75,ClassificacaoMeningite,0.0,108.0
510880,NOVA GUARITA,COLIDER,3,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,33.33333333333333,66.66666666666666,0.0,66.66666666666666,0.0,66.66666666666666,33.33333333333333,66.66666666666666,68.75,SeNMeningiditisEspecificarSorogrupo,0.0,108.0
510335,CONFRESA,PORTO ALEGRE DO NORTE,26,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.61538461538461,23.076923076923077,65.38461538461539,0.0,92.3076923076923,7.6923076923076925,26.923076923076923,23.076923076923077,84.61538461538461,69.23076923076923,SeNMeningiditisEspecificarSorogrupo,0.0,107.0
510860,VILA RICA,PORTO ALEGRE DO NORTE,17,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.52941176470588,47.05882352941176,0.0,64.70588235294117,17.647058823529413,35.294117647058826,23.52941176470588,100.0,69.48529411764706,SeNMeningiditisEspecificarSorogrupo,0.0,106.0
510260,CAMPINAPOLIS,BARRA DO GARCAS,23,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.26086956521739,39.130434782608695,60.86956521739131,0.0,86.95652173913044,13.043478260869565,21.73913043478261,34.78260869565217,78.26086956521739,69.56521739130436,SeNMeningiditisEspecificarSorogrupo,0.0,105.0
510623,NOVA OLIMPIA,TANGARA DA SERRA,15,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,20.0,73.33333333333333,0.0,100.0,20.0,26.666666666666668,20.0,80.0,70.0,SeNMeningiditisEspecificarSorogrupo,0.0,104.0
510795,TANGARA DA SERRA,TANGARA DA SERRA,170,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.23529411764706,27.647058823529413,47.05882352941176,0.0,97.05882352941177,6.470588235294119,28.823529411764703,27.647058823529413,99.41176470588235,70.7720588235294,SeNMeningiditisEspecificarSorogrupo,0.0,103.0
510885,NOVA MARILANDIA,TANGARA DA SERRA,5,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,40.0,80.0,0.0,80.0,20.0,20.0,40.0,80.0,71.25,SeNMeningiditisEspecificarSorogrupo,0.0,102.0
510517,JURUENA,JUINA,12,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333334,33.33333333333333,66.66666666666666,0.0,75.0,33.33333333333333,25.0,41.66666666666667,83.33333333333334,71.35416666666667,SeNMeningiditisEspecificarSorogrupo,0.0,101.0
510650,POCONE,CUIABA,60,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.66666666666667,36.666666666666664,70.0,0.0,76.66666666666667,21.666666666666668,40.0,40.0,81.66666666666667,71.77083333333333,SeNMeningiditisEspecificarSorogrupo,0.0,100.0
510330,COMODORO,PONTES E LACERDA,9,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777779,66.66666666666666,55.55555555555556,0.0,88.88888888888889,0.0,22.22222222222222,66.66666666666666,77.77777777777779,72.22222222222223,SeNMeningiditisEspecificarSorogrupo,0.0,99.0
510279,CARLINDA,ALTA FLORESTA,7,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.42857142857143,57.14285714285714,57.14285714285714,0.0,85.71428571428571,0.0,57.14285714285714,57.14285714285714,71.42857142857143,72.32142857142857,SeNMeningiditisEspecificarSorogrupo,0.0,98.0
510180,BARRA DO GARCAS,BARRA DO GARCAS,181,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34254143646409,43.646408839779006,62.98342541436463,0.5524861878453038,85.0828729281768,6.629834254143646,20.994475138121548,41.988950276243095,97.79005524861878,72.37569060773481,SeNMeningiditisEspecificarSorogrupo,0.5524861878453038,97.0
510160,BARAO DE MELGACO,CUIABA,5,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,40.0,60.0,0.0,100.0,20.0,40.0,40.0,80.0,72.5,SeNMeningiditisEspecificarSorogrupo,0.0,96.0
510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,28,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,39.285714285714285,71.42857142857143,0.0,85.71428571428571,14.285714285714285,25.0,39.285714285714285,92.85714285714286,72.54464285714286,SeNMeningiditisEspecificarSorogrupo,0.0,95.0
510080,APIACAS,ALTA FLORESTA,8,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,75.0,37.5,0.0,75.0,12.5,25.0,62.5,87.5,72.65625,SeNMeningiditisEspecificarSorogrupo,0.0,93.0
510490,JANGADA,CUIABA,8,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,25.0,75.0,0.0,87.5,12.5,50.0,37.5,87.5,72.65625,SeNMeningiditisEspecificarSorogrupo,0.0,93.0
510525,LUCAS DO RIO VERDE,SINOP,68,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.17647058823529,29.411764705882355,70.58823529411765,2.941176470588235,95.58823529411765,10.294117647058822,41.17647058823529,30.88235294117647,91.17647058823529,72.70220588235294,SeNMeningiditisEspecificarSorogrupo,2.941176470588235,92.0
510140,ARIPUANA,JUINA,14,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,42.857142857142854,57.14285714285714,0.0,85.71428571428571,14.285714285714285,50.0,42.857142857142854,85.71428571428571,72.76785714285714,SeNMeningiditisEspecificarSorogrupo,0.0,91.0
510300,CHAPADA DOS GUIMARAES,CUIABA,32,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,46.875,71.875,6.25,75.0,18.75,28.125,43.75,87.5,72.8515625,SeNMeningiditisEspecificarSorogrupo,6.25,90.0
510820,TORIXOREU,BARRA DO GARCAS,3,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,66.66666666666666,0.0,100.0,0.0,33.33333333333333,33.33333333333333,100.0,72.91666666666666,SeNMeningiditisEspecificarSorogrupo,0.0,89.0
510510,JUARA,JUARA,55,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.72727272727272,38.18181818181819,63.63636363636363,0.0,89.0909090909091,14.545454545454545,40.0,36.36363636363637,92.72727272727272,72.95454545454547,SeNMeningiditisEspecificarSorogrupo,0.0,88.0
510305,CLAUDIA,SINOP,15,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.33333333333333,66.66666666666666,53.333333333333336,0.0,100.0,0.0,46.666666666666664,60.0,73.33333333333333,73.33333333333333,SeNMeningiditisEspecificarSorogrupo,0.0,87.0
510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,89,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.50561797752809,35.95505617977528,78.65168539325843,0.0,89.8876404494382,7.865168539325842,33.70786516853933,35.95505617977528,96.62921348314607,73.38483146067415,SeNMeningiditisEspecificarSorogrupo,0.0,86.0
510629,PARANAITA,ALTA FLORESTA,25,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,48.0,72.0,0.0,84.0,20.0,36.0,52.0,80.0,73.5,SeNMeningiditisEspecificarSorogrupo,0.0,85.0
510320,COLIDER,COLIDER,40,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27.500000000000004,62.5,0.0,100.0,15.0,45.0,27.500000000000004,100.0,73.59375,SeNMeningiditisEspecificarSorogrupo,0.0,84.0
510780,SANTO ANTONIO DO LEVERGER,CUIABA,42,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.47619047619048,47.61904761904761,66.66666666666666,0.0,76.19047619047619,21.428571428571427,38.095238095238095,47.61904761904761,90.47619047619048,73.66071428571428,SeNMeningiditisEspecificarSorogrupo,0.0,83.0
510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,6,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,50.0,66.66666666666666,0.0,83.33333333333334,33.33333333333333,66.66666666666666,50.0,66.66666666666666,73.95833333333333,SeNMeningiditisEspecificarSorogrupo,0.0,81.0
510615,NOVA BANDEIRANTES,ALTA FLORESTA,12,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,66.66666666666666,66.66666666666666,0.0,91.66666666666666,8.333333333333332,33.33333333333333,66.66666666666666,75.0,73.95833333333333,SeNMeningiditisEspecificarSorogrupo,0.0,81.0
510310,COCALINHO,AGUA BOA,7,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,28.57142857142857,85.71428571428571,0.0,100.0,0.0,71.42857142857143,28.57142857142857,85.71428571428571,74.10714285714286,SeNMeningiditisEspecificarSorogrupo,0.0,80.0
510787,SAPEZAL,TANGARA DA SERRA,51,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.35294117647058,52.94117647058824,74.50980392156863,0.0,80.3921568627451,11.76470588235294,45.09803921568628,54.90196078431373,84.31372549019608,74.1421568627451,SeNMeningiditisEspecificarSorogrupo,0.0,79.0
510637,PEDRA PRETA,RONDONOPOLIS,29,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.41379310344827,65.51724137931035,58.620689655172406,0.0,75.86206896551724,17.24137931034483,58.620689655172406,68.96551724137932,75.86206896551724,74.56896551724138,SeNMeningiditisEspecificarSorogrupo,0.0,78.0
510770,ROSARIO OESTE,DIAMANTINO,16,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.75,37.5,68.75,0.0,87.5,25.0,43.75,37.5,100.0,74.609375,SeNMeningiditisEspecificarSorogrupo,0.0,77.0
510718,RIBEIRAO CASCALHEIRA,AGUA BOA,8,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,50.0,75.0,0.0,87.5,25.0,37.5,50.0,87.5,75.0,SeNMeningiditisEspecificarSorogrupo,0.0,70.0
510740,SAO PEDRO DA CIPA,RONDONOPOLIS,11,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.81818181818183,72.72727272727273,63.63636363636363,9.090909090909092,72.72727272727273,9.090909090909092,45.45454545454545,72.72727272727273,72.72727272727273,75.0,SeNMeningiditisEspecificarSorogrupo,9.090909090909092,70.0
510130,ARENAPOLIS,TANGARA DA SERRA,10,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,30.0,70.0,0.0,90.0,40.0,60.0,30.0,90.0,75.0,SeNMeningiditisEspecificarSorogrupo,0.0,70.0
510627,NOVO HORIZONTE DO NORTE,JUARA,4,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,75.0,0.0,75.0,50.0,50.0,25.0,100.0,75.0,SeNMeningiditisEspecificarSorogrupo,0.0,70.0
510020,AGUA BOA,AGUA BOA,30,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,26.666666666666668,86.66666666666667,0.0,93.33333333333333,26.666666666666668,40.0,30.0,96.66666666666667,75.0,SeNMeningiditisEspecificarSorogrupo,0.0,70.0
510285,CASTANHEIRA,JUINA,6,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,50.0,66.66666666666666,0.0,100.0,50.0,50.0,50.0,66.66666666666666,75.0,SeNMeningiditisEspecificarSorogrupo,0.0,70.0
510325,COLNIZA,JUINA,16,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.75,43.75,75.0,0.0,100.0,18.75,37.5,43.75,87.5,75.0,SeNMeningiditisEspecificarSorogrupo,0.0,70.0
510520,JUSCIMEIRA,RONDONOPOLIS,17,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.11764705882352,58.82352941176471,64.70588235294117,0.0,88.23529411764706,11.76470588235294,41.17647058823529,58.82352941176471,88.23529411764706,75.36764705882352,SeNMeningiditisEspecificarSorogrupo,0.0,69.0
510268,CAMPOS DE JULIO,PONTES E LACERDA,11,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.54545454545454,81.81818181818183,0.0,100.0,9.090909090909092,9.090909090909092,54.54545454545454,100.0,75.56818181818181,SeNMeningiditisEspecificarSorogrupo,0.0,68.0
510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,10,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,60.0,60.0,10.0,90.0,30.0,30.0,70.0,80.0,75.625,SeNMeningiditisEspecificarSorogrupo,10.0,67.0
