Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
120080,1200807,AC,Porto Acre,18'824,19'141,16'693,17'381,17'455,17'523
130002,1300029,AM,Alvarães,16'220,16'396,15'866,16'535,16'670,16'806
130006,1300060,AM,Amaturá,11'736,11'934,10'819,11'316,11'411,11'533
130008,1300086,AM,Anamã,13'956,14'292,9'962,10'343,10'318,9'981
130010,1300102,AM,Anori,21'477,21'937,17'194,17'913,17'932,18'056
130014,1300144,AM,Apuí,22'359,22'739,20'647,21'553,21'735,21'781
130020,1300201,AM,Atalaia do Norte,20'398,20'868,15'314,15'921,15'892,15'889
130030,1300300,AM,Autazes,40'290,41'005,41'564,44'419,45'328,45'960
130040,1300409,AM,Barcelos,27'638,27'772,18'834,19'071,18'626,18'210
130050,1300508,AM,Barreirinha,32'483,32'919,31'051,33'141,33'436,33'722
130060,1300607,AM,Benjamin Constant,43'935,44'873,37'648,40'165,40'509,40'908
130063,1300631,AM,Beruri,20'093,20'503,20'718,21'669,22'136,22'495
130068,1300680,AM,Boa Vista do Ramos,19'626,20'040,23'785,24'906,25'769,26'479
130070,1300706,AM,Boca do Acre,34'635,34'958,35'447,37'824,38'246,38'792
130080,1300805,AM,Borba,41'748,42'328,33'080,35'119,34'879,34'869
130083,1300839,AM,Caapiranga,13'283,13'482,13'469,14'109,14'310,14'806
130090,1300904,AM,Canutama,15'807,15'981,16'869,17'646,17'885,18'109
130100,1301001,AM,Carauari,28'508,28'719,28'742,30'674,30'892,31'130
130110,1301100,AM,Careiro,38'348,38'820,30'792,32'697,32'442,32'336
130115,1301159,AM,Careiro da Várzea,30'846,31'459,19'637,20'184,19'809,20'324
130120,1301209,AM,Coari,85'910,86'713,70'616,74'504,73'820,73'576
130130,1301308,AM,Codajás,29'168,29'691,23'549,24'505,24'451,24'572
130140,1301407,AM,Eirunepé,35'700,36'121,33'170,35'395,35'534,35'793
130150,1301506,AM,Envira,20'393,20'748,17'186,17'888,17'920,17'985
130160,1301605,AM,Fonte Boa,17'005,16'409,25'871,27'608,27'875,28'227
130165,1301654,AM,Guajará,16'937,17'193,13'815,14'372,14'332,14'344
130170,1301704,AM,Humaitá,56'144,57'195,57'473,61'079,62'312,63'454
130180,1301803,AM,Ipixuna,30'436,31'172,24'311,25'273,25'458,25'629
130185,1301852,AM,Iranduba,49'011,49'718,61'163,65'278,67'114,68'862
130190,1301902,AM,Itacoatiara,102'701,104'046,103'598,111'102,112'520,113'917
130195,1301951,AM,Itamarati,7'814,7'777,10'937,11'474,11'730,11'956
130200,1302009,AM,Itapiranga,9'230,9'312,10'162,10'640,10'805,10'955
130210,1302108,AM,Japurá,2'251,1'755,8'858,9'263,9'397,9'420
130220,1302207,AM,Juruá,15'106,15'495,10'742,11'162,11'152,11'093
130230,1302306,AM,Jutaí,13'886,13'462,25'172,26'971,27'656,28'202
130240,1302405,AM,Lábrea,46'882,47'685,45'448,48'221,48'927,49'469
130250,1302504,AM,Manacapuru,98'502,99'613,101'883,109'219,110'691,111'751
130255,1302553,AM,Manaquiri,33'049,33'981,17'107,17'445,17'009,16'211
130260,1302603,AM,Manaus,2'219'580,2'255'903,2'063'689,2'255'389,2'279'686,2'303'732
130270,1302702,AM,Manicoré,56'583,57'405,53'914,57'136,57'758,58'018
130280,1302801,AM,Maraã,18'261,18'298,15'529,15'992,15'843,15'815
130290,1302900,AM,Maués,65'040,66'159,61'204,65'026,65'714,66'336
130300,1303007,AM,Nhamundá,21'443,21'710,20'136,20'987,21'106,21'251
130310,1303106,AM,Nova Olinda do Norte,38'026,38'665,27'062,28'621,28'267,28'123
130320,1303205,AM,Novo Airão,19'928,20'395,15'761,16'421,16'467,16'562
130330,1303304,AM,Novo Aripuanã,26'046,26'443,23'818,24'814,24'987,25'325
130340,1303403,AM,Parintins,115'363,116'439,96'372,102'535,101'956,101'855
130350,1303502,AM,Pauini,19'522,19'616,19'373,20'165,20'232,20'229
130353,1303536,AM,Presidente Figueiredo,37'193,38'095,30'668,32'737,33'004,33'291
130356,1303569,AM,Rio Preto da Eva,34'106,34'856,24'936,25'886,25'723,25'364
130360,1303601,AM,Santa Isabel do Rio Negro,25'865,26'566,14'164,14'472,14'176,13'947
130370,1303700,AM,Santo Antônio do Içá,21'243,20'889,28'211,30'140,30'448,30'679
130380,1303809,AM,São Gabriel da Cachoeira,46'303,47'031,51'795,55'039,56'406,57'396
130390,1303908,AM,São Paulo de Olivença,40'073,40'837,32'967,35'120,35'196,35'442
130395,1303957,AM,São Sebastião do Uatumã,14'352,14'678,11'670,12'172,12'247,12'338
130400,1304005,AM,Silves,9'230,9'289,11'559,12'128,12'404,12'619
130406,1304062,AM,Tabatinga,67'182,68'502,66'764,70'982,72'283,73'348
130410,1304104,AM,Tapauá,17'015,16'876,19'599,20'400,20'501,20'728
130420,1304203,AM,Tefé,59'547,59'250,73'669,78'256,79'278,80'137
130423,1304237,AM,Tonantins,18'897,19'038,19'247,20'070,20'224,20'257
130426,1304260,AM,Uarini,13'690,13'839,14'431,15'081,15'278,15'640
130430,1304302,AM,Urucará,16'130,16'007,18'631,19'389,19'505,19'617
130440,1304401,AM,Urucurituba,23'585,24'098,23'945,25'009,25'592,25'965
140002,1400027,RR,Amajari,13'185,13'561,13'927,15'053,15'583,16'112
140005,1400050,RR,Alto Alegre,15'380,15'249,21'096,22'526,23'049,23'589
140010,1400100,RR,Boa Vista,419'652,436'591,413'486,454'980,470'169,485'477
140015,1400159,RR,Bonfim,12'557,12'701,13'923,14'905,15'222,15'570
140017,1400175,RR,Cantá,18'799,19'257,18'682,20'064,20'552,21'102
140020,1400209,RR,Caracaraí,22'283,22'635,20'957,22'198,22'443,22'750
140023,1400233,RR,Caroebe,10'383,10'595,10'656,11'449,11'708,12'004
140028,1400282,RR,Iracema,12'296,12'637,10'023,10'653,10'778,10'937
140030,1400308,RR,Mucajaí,18'172,18'482,18'095,19'281,19'619,20'006
140040,1400407,RR,Normandia,11'532,11'772,13'986,15'171,15'744,16'323
140045,1400456,RR,Pacaraima,18'913,20'108,19'305,21'025,22'104,23'112
140047,1400472,RR,Rorainópolis,30'782,31'387,32'647,35'764,36'747,37'787
