Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
240340,2403400,RN,Equador,6'054,6'064,5'360,5'475,5'476,5'461
240350,2403509,RN,Espírito Santo,10'484,10'463,10'620,10'936,10'936,10'951
240360,2403608,RN,Extremoz,28'936,29'282,61'635,64'577,66'993,68'584
240370,2403707,RN,Felipe Guerra,5'997,6'009,5'944,6'454,6'458,6'472
240375,2403756,RN,Fernando Pedroza,3'067,3'081,2'938,2'997,3'029,3'035
240380,2403806,RN,Florânia,9'786,9'772,10'196,10'496,10'528,10'556
240390,2403905,RN,Francisco Dantas,2'813,2'801,2'700,2'744,2'763,2'758
240400,2404002,RN,Frutuoso Gomes,4'041,4'015,4'122,4'225,4'231,4'230
240410,2404101,RN,Galinhos,2'845,2'903,2'104,2'136,2'160,2'159
240420,2404200,RN,Goianinha,26'669,27'004,26'741,27'819,28'212,28'422
240430,2404309,RN,Governador Dix-Sept Rosado,13'076,13'115,11'938,12'268,12'239,12'231
240440,2404408,RN,Grossos,10'463,10'541,9'924,10'211,10'251,10'281
240450,2404507,RN,Guamaré,15'963,16'261,15'295,15'736,15'947,16'076
240460,2404606,RN,Ielmo Marinho,13'901,14'033,11'615,11'957,11'903,11'889
240470,2404705,RN,Ipanguaçu,15'626,15'759,14'131,14'533,14'539,14'560
240480,2404804,RN,Ipueira,2'253,2'264,2'035,2'068,2'090,2'090
240485,2404853,RN,Itajá,7'595,7'641,7'292,7'521,7'531,7'551
240490,2404903,RN,Itaú,5'897,5'916,5'320,5'458,5'452,5'447
240500,2405009,RN,Jaçanã,9'238,9'341,7'834,8'046,8'051,8'053
240510,2405108,RN,Jandaíra,6'893,6'907,6'562,6'739,6'748,6'752
240520,2405207,RN,Janduís,5'248,5'228,4'746,4'852,4'834,4'813
240530,2405306,RN,Januário Cicco,10'275,10'367,9'051,8'839,8'836,8'843
240540,2405405,RN,Japi,4'995,4'935,5'117,5'250,5'231,5'219
240550,2405504,RN,Jardim de Angicos,2'606,2'600,2'437,2'471,2'493,2'488
240560,2405603,RN,Jardim de Piranhas,14'942,15'044,13'977,14'372,14'416,14'446
240570,2405702,RN,Jardim do Seridó,12'396,12'397,11'655,11'997,11'952,11'942
240580,2405801,RN,João Câmara,35'160,35'360,33'290,34'684,34'768,34'849
240590,2405900,RN,João Dias,2'654,2'653,2'076,2'078,2'093,2'073
240600,2406007,RN,José da Penha,5'946,5'941,5'803,5'961,5'964,5'966
240610,2406106,RN,Jucurutu,18'315,18'335,17'793,18'287,18'286,18'304
240615,2406155,RN,Jundiá,3'922,3'945,3'739,3'825,3'859,3'868
240620,2406205,RN,Lagoa d'Anta,6'811,6'851,6'654,6'692,6'733,6'756
240630,2406304,RN,Lagoa de Pedras,7'584,7'624,7'338,7'546,7'577,7'597
240640,2406403,RN,Lagoa de Velhos,2'732,2'732,2'567,2'610,2'633,2'631
240650,2406502,RN,Lagoa Nova,15'749,15'880,15'573,16'017,16'126,16'203
240660,2406601,RN,Lagoa Salgada,8'297,8'348,8'319,8'546,8'619,8'657
240670,2406700,RN,Lajes,11'344,11'410,9'866,10'136,10'108,10'094
240680,2406809,RN,Lajes Pintadas,4'763,4'768,4'787,4'907,4'939,4'950
240690,2406908,RN,Lucrécia,4'025,4'053,3'490,3'574,3'579,3'576
240700,2407005,RN,Luís Gomes,10'146,10'175,9'070,9'325,9'286,9'271
240710,2407104,RN,Macaíba,81'821,82'828,82'249,85'278,86'433,87'056
240720,2407203,RN,Macau,32'039,32'260,27'369,28'509,28'384,28'350
240725,2407252,RN,Major Sales,4'062,4'102,3'924,4'032,4'067,4'086
240730,2407302,RN,Marcelino Vieira,8'336,8'325,7'896,8'112,8'092,8'083
240740,2407401,RN,Martins,8'758,8'790,8'179,8'413,8'411,8'415
240750,2407500,RN,Maxaranguape,12'544,12'714,10'255,10'569,10'534,10'534
240760,2407609,RN,Messias Targino,4'634,4'665,4'274,4'376,4'404,4'410
240770,2407708,RN,Montanhas,11'208,11'166,11'444,11'767,11'774,11'785
240780,2407807,RN,Monte Alegre,22'576,22'698,23'031,23'657,23'843,23'953
240790,2407906,RN,Monte das Gameleiras,2'084,2'063,2'276,2'310,2'343,2'345
240800,2408003,RN,Mossoró,300'618,303'792,264'577,277'623,278'034,278'587
240810,2408102,RN,Natal,890'480,896'708,751'300,792'717,785'368,784'249
240820,2408201,RN,Nísia Floresta,27'938,28'266,31'942,33'193,33'949,34'325
240830,2408300,RN,Nova Cruz,37'450,37'554,34'269,35'665,35'534,35'523
240840,2408409,RN,Olho d'Água do Borges,4'244,4'231,3'905,3'745,3'748,3'736
240850,2408508,RN,Ouro Branco,4'813,4'813,4'913,5'043,5'071,5'084
240860,2408607,RN,Paraná,4'276,4'298,3'934,4'031,4'046,4'048
240870,2408706,RN,Paraú,3'750,3'732,3'579,3'649,3'659,3'650
240880,2408805,RN,Parazinho,5'272,5'307,4'801,4'910,4'940,4'945
240890,2408904,RN,Parelhas,21'545,21'611,21'499,22'095,22'179,22'242
240895,2408953,RN,Rio do Fogo,10'905,10'961,10'351,10'664,10'672,10'692
240910,2409100,RN,Passa e Fica,13'474,13'667,10'896,11'421,11'406,11'407
240920,2409209,RN,Passagem,3'102,3'114,3'115,3'183,3'222,3'233
240930,2409308,RN,Patu,12'809,12'861,11'007,11'321,11'245,11'215
240933,2409332,RN,Santa Maria,5'621,5'689,4'847,4'962,4'992,5'000
240940,2409407,RN,Pau dos Ferros,30'600,30'802,30'479,31'726,31'975,32'123
240950,2409506,RN,Pedra Grande,3'199,3'163,3'618,3'698,3'729,3'736
240960,2409605,RN,Pedra Preta,2'438,2'419,2'441,2'476,2'499,2'495
240970,2409704,RN,Pedro Avelino,6'653,6'591,6'242,6'397,6'345,6'312
240980,2409803,RN,Pedro Velho,14'844,14'881,13'824,14'236,14'197,14'197
240990,2409902,RN,Pendências,15'272,15'411,12'278,12'609,12'536,12'499
241000,2410009,RN,Pilões,3'869,3'900,2'965,3'015,3'010,2'992
241010,2410108,RN,Poço Branco,15'531,15'646,12'390,12'744,12'619,12'565
241020,2410207,RN,Portalegre,7'906,7'944,7'601,7'823,7'842,7'859
241025,2410256,RN,Porto do Mangue,6'522,6'605,5'228,5'347,5'357,5'351
241030,2410306,RN,Serra Caiada,10'522,10'646,10'125,11'040,11'146,11'203
241040,2410405,RN,Pureza,9'724,9'825,9'362,9'634,9'707,9'752
241050,2410504,RN,Rafael Fernandes,5'128,5'158,5'432,5'586,5'647,5'682
241060,2410603,RN,Rafael Godeiro,3'208,3'214,2'934,2'996,3'008,3'005
241070,2410702,RN,Riacho da Cruz,3'614,3'648,2'701,2'738,2'741,2'724
241080,2410801,RN,Riacho de Santana,4'199,4'194,4'127,4'238,4'243,4'245
241090,2410900,RN,Riachuelo,8'220,8'310,7'389,7'589,7'627,7'646
241100,2411007,RN,Rodolfo Fernandes,4'462,4'457,4'242,4'345,4'349,4'345
241105,2411056,RN,Tibau,4'140,4'173,5'382,5'574,5'674,5'748
241110,2411106,RN,Ruy Barbosa,3'592,3'584,3'206,3'264,3'266,3'253
241120,2411205,RN,Santa Cruz,39'988,40'295,37'313,38'880,38'996,39'101
241140,2411403,RN,Santana do Matos,11'956,11'808,12'456,12'808,12'746,12'722
241142,2411429,RN,Santana do Seridó,2'689,2'699,2'696,2'754,2'787,2'796
241150,2411502,RN,Santo Antônio,24'280,24'422,22'177,22'819,22'779,22'793
241160,2411601,RN,São Bento do Norte,2'717,2'687,3'304,3'375,3'426,3'442
241170,2411700,RN,São Bento do Trairí,4'495,4'541,3'792,3'872,3'892,3'890
241180,2411809,RN,São Fernando,3'595,3'606,3'492,3'579,3'600,3'606
241190,2411908,RN,São Francisco do Oeste,4'255,4'281,4'161,4'276,4'304,4'319
241200,2412005,RN,São Gonçalo do Amarante,103'672,104'919,115'838,120'489,123'207,124'495
241210,2412104,RN,São João do Sabugi,6'207,6'221,5'956,6'125,6'130,6'136
241220,2412203,RN,São José de Mipibu,44'236,44'566,47'286,49'012,49'693,50'053
241230,2412302,RN,São José do Campestre,12'879,12'901,11'121,11'434,11'340,11'298
241240,2412401,RN,São José do Seridó,4'665,4'696,4'558,4'675,4'716,4'733
241250,2412500,RN,São Miguel,23'655,23'789,23'537,24'214,24'329,24'422
241255,2412559,RN,São Miguel do Gostoso,10'362,10'441,10'221,10'509,10'590,10'636
241260,2412609,RN,São Paulo do Potengi,17'720,17'858,16'786,17'267,17'320,17'371
241270,2412708,RN,São Pedro,5'930,5'889,5'776,5'924,5'905,5'890
241280,2412807,RN,São Rafael,8'192,8'183,7'711,7'927,7'899,7'889
241290,2412906,RN,São Tomé,11'053,11'051,9'972,10'260,10'188,10'161
241300,2413003,RN,São Vicente,6'450,6'476,6'310,6'482,6'514,6'530
241310,2413102,RN,Senador Elói de Souza,6'127,6'167,5'965,5'965,6'007,6'027
241320,2413201,RN,Senador Georgino Avelino,4'484,4'527,4'065,4'167,4'193,4'202
241330,2413300,RN,Serra de São Bento,5'751,5'739,5'703,5'852,5'864,5'866
241335,2413359,RN,Serra do Mel,12'083,12'225,13'091,13'450,13'694,13'819
241340,2413409,RN,Serra Negra do Norte,8'092,8'105,7'597,7'816,7'801,7'800
241350,2413508,RN,Serrinha,6'178,6'128,6'436,6'616,6'609,6'608
241355,2413557,RN,Serrinha dos Pintos,4'816,4'832,4'659,4'777,4'802,4'810
241360,2413607,RN,Severiano Melo,2'088,1'743,5'487,5'630,5'623,5'616
241370,2413706,RN,Sítio Novo,5'561,5'600,4'654,4'762,4'758,4'746
241380,2413805,RN,Taboleiro Grande,2'586,2'606,2'338,2'362,2'406,2'409
241390,2413904,RN,Taipu,12'297,12'314,11'422,11'767,11'716,11'708
241400,2414001,RN,Tangará,15'869,16'008,13'281,13'680,13'602,13'583
241410,2414100,RN,Tenente Ananias,10'855,10'923,10'262,10'552,10'587,10'610
241415,2414159,RN,Tenente Laurentino Cruz,6'019,6'085,5'891,6'067,6'118,6'152
241420,2414209,RN,Tibau do Sul,14'440,14'694,16'929,17'339,17'840,18'080
241430,2414308,RN,Timbaúba dos Batistas,2'421,2'427,2'348,2'398,2'420,2'424
241440,2414407,RN,Touros,33'503,33'716,33'035,34'425,34'624,34'767
241445,2414456,RN,Triunfo Potiguar,3'216,3'195,3'376,3'448,3'474,3'477
241450,2414506,RN,Umarizal,10'520,10'485,10'078,10'713,10'671,10'655
241460,2414605,RN,Upanema,14'800,14'937,13'577,13'983,14'013,14'048
241470,2414704,RN,Várzea,5'515,5'529,5'233,5'365,5'383,5'387
241475,2414753,RN,Venha-Ver,4'205,4'232,3'014,3'039,3'035,3'005
241480,2414803,RN,Vera Cruz,12'637,12'789,10'735,11'042,11'044,11'053
241490,2414902,RN,Viçosa,1'725,1'731,1'822,1'846,1'890,1'900
241500,2415008,RN,Vila Flor,3'194,3'217,3'174,3'225,3'289,3'304
250010,2500106,PB,Água Branca,10'306,10'375,9'335,9'588,9'578,9'580
250020,2500205,PB,Aguiar,5'630,5'622,5'003,5'077,5'061,5'026
250030,2500304,PB,Alagoa Grande,28'439,28'384,26'062,26'891,26'774,26'655
250040,2500403,PB,Alagoa Nova,20'921,20'992,21'013,21'614,21'724,21'823
250050,2500502,PB,Alagoinha,14'560,14'629,13'725,14'101,14'118,14'140
250053,2500536,PB,Alcantil,5'509,5'527,5'578,5'730,5'777,5'806
250057,2500577,PB,Algodão de Jandaíra,2'577,2'588,2'953,3'040,3'105,3'143
250060,2500601,PB,Alhandra,19'727,19'865,21'730,22'473,22'797,23'065
250070,2500700,PB,São João do Rio do Peixe,18'026,18'020,17'964,18'466,18'468,18'500
250073,2500734,PB,Amparo,2'251,2'264,2'234,2'279,2'316,2'328
250077,2500775,PB,Aparecida,8'416,8'482,7'960,8'193,8'225,8'257
250080,2500809,PB,Araçagi,16'921,16'857,16'646,17'041,17'012,16'991
250090,2500908,PB,Arara,13'542,13'613,12'212,12'518,12'496,12'482
250100,2501005,PB,Araruna,20'463,20'610,17'189,17'544,17'442,17'360
250110,2501104,PB,Areia,22'656,22'493,22'633,23'152,23'082,23'031
250115,2501153,PB,Areia de Baraúnas,2'116,2'105,2'005,2'006,2'036,2'027
250120,2501203,PB,Areial,7'027,7'054,7'128,7'350,7'393,7'434
250130,2501302,PB,Aroeiras,19'116,19'081,18'705,19'150,19'148,19'142
250135,2501351,PB,Assunção,4'029,4'067,4'152,4'290,4'342,4'383
250140,2501401,PB,Baía da Traição,9'096,9'197,9'224,9'521,9'648,9'741
250150,2501500,PB,Bananeiras,21'269,21'220,23'134,23'843,23'989,24'134
250153,2501534,PB,Baraúna,4'964,5'033,4'762,4'915,4'968,5'010
250157,2501575,PB,Barra de Santana,8'349,8'338,8'059,8'255,8'253,8'247
250160,2501609,PB,Barra de Santa Rosa,15'497,15'607,12'904,13'170,13'094,13'024
250170,2501708,PB,Barra de São Miguel,6'065,6'095,5'906,6'061,6'101,6'123
250180,2501807,PB,Bayeux,97'203,97'519,82'742,85'028,84'404,83'862
250190,2501906,PB,Belém,17'705,17'733,16'401,16'792,16'740,16'710
250200,2502003,PB,Belém do Brejo do Cruz,7'349,7'356,6'268,6'370,6'324,6'272
250205,2502052,PB,Bernardino Batista,3'536,3'571,3'504,3'599,3'650,3'677
250210,2502102,PB,Boa Ventura,5'307,5'248,5'207,5'294,5'277,5'246
250215,2502151,PB,Boa Vista,7'136,7'218,6'377,6'544,6'575,6'592
250220,2502201,PB,Bom Jesus,2'575,2'588,2'286,2'300,2'333,2'328
250230,2502300,PB,Bom Sucesso,4'956,4'937,4'661,4'754,4'740,4'720
250240,2502409,PB,Bonito de Santa Fé,12'022,12'126,10'252,10'490,10'460,10'433
250250,2502508,PB,Boqueirão,17'870,17'934,17'598,18'085,18'153,18'216
250260,2502607,PB,Igaracy,6'105,6'092,5'648,5'755,5'743,5'719
250270,2502706,PB,Borborema,5'287,5'311,4'214,4'250,4'231,4'185
250280,2502805,PB,Brejo do Cruz,14'206,14'287,13'613,14'008,14'050,14'095
250290,2502904,PB,Brejo dos Santos,6'464,6'479,5'742,5'851,5'840,5'816
250300,2503001,PB,Caaporã,21'955,22'079,21'193,21'792,21'865,21'942
250310,2503100,PB,Cabaceiras,5'661,5'710,5'335,5'480,5'515,5'537
250320,2503209,PB,Cabedelo,68'767,69'773,66'519,69'297,70'067,70'734
250330,2503308,PB,Cachoeira dos Índios,10'305,10'364,9'151,9'369,9'351,9'335
250340,2503407,PB,Cacimba de Areia,3'695,3'708,3'291,3'330,3'354,3'344
250350,2503506,PB,Cacimba de Dentro,17'178,17'169,16'064,16'438,16'373,16'332
250355,2503555,PB,Cacimbas,7'199,7'225,7'223,7'447,7'478,7'513
250360,2503605,PB,Caiçara,7'191,7'182,6'602,6'739,6'713,6'684
250370,2503704,PB,Cajazeiras,62'289,62'576,63'239,65'745,66'171,66'585
250375,2503753,PB,Cajazeirinhas,3'205,3'217,2'740,2'770,2'776,2'760
250380,2503803,PB,Caldas Brandão,6'046,6'077,5'753,5'888,5'928,5'942
250390,2503902,PB,Camalaú,6'031,6'048,6'085,6'264,6'298,6'327
250400,2504009,PB,Campina Grande,411'807,413'830,419'379,437'666,440'939,443'911
250403,2504033,PB,Capim,6'620,6'715,6'970,7'208,7'347,7'446
250407,2504074,PB,Caraúbas,4'185,4'206,3'944,4'025,4'059,4'067
250410,2504108,PB,Carrapateira,2'687,2'714,2'312,2'327,2'367,2'365
250415,2504157,PB,Casserengue,7'499,7'530,6'889,7'059,7'056,7'052
250420,2504207,PB,Catingueira,4'935,4'938,4'491,4'565,4'572,4'556
250430,2504306,PB,Catolé do Rocha,30'684,30'819,30'661,31'980,32'118,32'288
250435,2504355,PB,Caturité,4'875,4'898,5'254,5'422,5'492,5'544
250440,2504405,PB,Conceição,19'007,19'030,18'260,18'735,18'723,18'731
250450,2504504,PB,Condado,6'658,6'662,6'451,6'631,6'624,6'629
250460,2504603,PB,Conde,25'010,25'341,27'605,28'986,29'543,30'007
250470,2504702,PB,Congo,4'787,4'787,4'933,5'058,5'102,5'124
250480,2504801,PB,Coremas,15'441,15'438,14'683,15'041,15'005,14'987
250485,2504850,PB,Coxixola,1'935,1'948,1'824,1'851,1'882,1'888
250490,2504900,PB,Cruz do Espírito Santo,17'461,17'599,17'095,17'594,17'718,17'821
250500,2505006,PB,Cubati,7'832,7'866,7'580,7'781,7'820,7'842
250510,2505105,PB,Cuité,20'334,20'331,19'719,20'197,20'205,20'208
250520,2505204,PB,Cuitegi,6'775,6'748,6'730,6'878,6'894,6'890
250523,2505238,PB,Cuité de Mamanguape,6'356,6'360,6'251,6'417,6'431,6'441
250527,2505279,PB,Curral de Cima,5'218,5'209,5'254,5'391,5'406,5'415
250530,2505303,PB,Curral Velho,2'512,2'508,2'292,2'304,2'327,2'316
250535,2505352,PB,Damião,5'370,5'409,4'982,5'105,5'131,5'141
250540,2505402,PB,Desterro,8'315,8'332,8'067,8'292,8'300,8'314
250550,2505501,PB,Vista Serrana,3'824,3'850,3'641,3'715,3'759,3'772
250560,2505600,PB,Diamante,6'528,6'506,6'299,6'433,6'431,6'416
250570,2505709,PB,Dona Inês,10'413,10'375,10'380,10'638,10'640,10'638
250580,2505808,PB,Duas Estradas,3'582,3'569,3'327,3'373,3'377,3'360
250590,2505907,PB,Emas,3'539,3'556,3'011,3'045,3'053,3'036
250600,2506004,PB,Esperança,33'199,33'386,31'231,32'432,32'522,32'599
250610,2506103,PB,Fagundes,11'215,11'180,11'049,11'312,11'315,11'307
250620,2506202,PB,Frei Martinho,2'989,2'989,2'846,2'890,2'913,2'911
250625,2506251,PB,Gado Bravo,8'303,8'292,8'179,8'384,8'395,8'398
250630,2506301,PB,Guarabira,59'115,59'389,57'484,59'616,59'836,60'057
250640,2506400,PB,Gurinhém,14'127,14'125,13'766,14'127,14'133,14'141
250650,2506509,PB,Gurjão,3'453,3'477,3'242,3'301,3'343,3'352
250660,2506608,PB,Ibiara,5'903,5'877,5'631,5'745,5'733,5'713
250670,2506707,PB,Imaculada,11'848,11'877,10'392,10'629,10'550,10'497
250680,2506806,PB,Ingá,18'144,18'184,17'692,18'162,18'197,18'234
250690,2506905,PB,Itabaiana,24'419,24'363,23'182,23'715,23'621,23'558
250700,2507002,PB,Itaporanga,24'828,24'960,23'940,24'640,24'686,24'766
250710,2507101,PB,Itapororoca,18'823,18'978,18'382,18'920,19'054,19'165
250720,2507200,PB,Itatuba,11'016,11'069,10'499,10'785,10'816,10'840
250730,2507309,PB,Jacaraú,14'450,14'467,14'477,14'878,14'923,14'969
250740,2507408,PB,Jericó,7'745,7'751,7'516,7'725,7'721,7'728
250750,2507507,PB,João Pessoa,817'511,825'796,833'932,881'644,888'679,897'633
250760,2507606,PB,Juarez Távora,7'976,8'014,7'796,8'024,8'057,8'088
250770,2507705,PB,Juazeirinho,18'298,18'422,17'007,17'449,17'488,17'520
250780,2507804,PB,Junco do Seridó,7'195,7'238,6'793,6'983,7'002,7'019
250790,2507903,PB,Juripiranga,10'793,10'830,10'012,10'251,10'259,10'255
250800,2508000,PB,Juru,9'849,9'831,9'234,9'444,9'410,9'380
250810,2508109,PB,Lagoa,4'653,4'640,4'415,4'499,4'502,4'489
250820,2508208,PB,Lagoa de Dentro,7'737,7'754,7'819,8'046,8'088,8'123
250830,2508307,PB,Lagoa Seca,27'617,27'728,27'730,28'885,29'053,29'209
250840,2508406,PB,Lastro,2'718,2'698,3'162,3'241,3'292,3'316
250850,2508505,PB,Livramento,7'265,7'274,6'877,7'057,7'045,7'041
250855,2508554,PB,Logradouro,4'369,4'406,4'797,4'954,5'045,5'107
250860,2508604,PB,Lucena,13'214,13'344,12'560,12'944,13'019,13'088
250870,2508703,PB,Mãe d'Água,3'999,3'988,3'583,3'626,3'624,3'599
250880,2508802,PB,Malta,5'752,5'745,6'046,6'229,6'259,6'288
250890,2508901,PB,Mamanguape,45'136,45'385,44'599,46'424,46'719,46'966
250900,2509008,PB,Manaíra,10'972,10'988,10'434,10'720,10'700,10'699
250905,2509057,PB,Marcação,8'653,8'746,8'999,9'294,9'435,9'537
250910,2509107,PB,Mari,21'866,21'895,21'512,22'091,22'126,22'170
250915,2509156,PB,Marizópolis,6'654,6'689,6'705,6'922,6'960,7'001
250920,2509206,PB,Massaranduba,13'998,14'077,14'139,14'561,14'666,14'756
250930,2509305,PB,Mataraca,8'539,8'642,8'244,8'506,8'585,8'650
250933,2509339,PB,Matinhas,4'515,4'528,4'571,4'688,4'735,4'759
250937,2509370,PB,Mato Grosso,2'926,2'944,2'543,2'567,2'592,2'584
250939,2509396,PB,Maturéia,6'630,6'690,6'433,6'625,6'677,6'717
250940,2509404,PB,Mogeiro,13'261,13'238,13'899,14'305,14'375,14'435
250950,2509503,PB,Montadas,5'738,5'806,5'812,6'010,6'083,6'144
250960,2509602,PB,Monte Horebe,4'842,4'867,4'338,4'416,4'435,4'429
250970,2509701,PB,Monteiro,33'433,33'638,32'277,33'590,33'742,33'886
250980,2509800,PB,Mulungu,9'932,9'962,8'791,8'982,8'945,8'909
250990,2509909,PB,Natuba,10'451,10'449,8'945,9'096,9'014,8'935
251000,2510006,PB,Nazarezinho,7'286,7'271,7'203,7'393,7'392,7'394
251010,2510105,PB,Nova Floresta,10'626,10'614,9'724,9'912,9'884,9'840
251020,2510204,PB,Nova Olinda,5'920,5'892,5'787,5'921,5'909,5'897
251030,2510303,PB,Nova Palmeira,4'959,5'011,4'259,4'356,4'362,4'359
251040,2510402,PB,Olho d'Água,6'462,6'399,6'060,6'152,6'111,6'059
251050,2510501,PB,Olivedos,3'961,3'989,3'580,3'658,3'674,3'675
251060,2510600,PB,Ouro Velho,3'046,3'052,2'918,2'968,2'998,3'000
251065,2510659,PB,Parari,1'758,1'747,1'720,1'725,1'751,1'745
251070,2510709,PB,Passagem,2'436,2'453,2'463,2'523,2'562,2'580
251080,2510808,PB,Patos,108'192,108'766,103'165,107'414,107'774,108'104
251090,2510907,PB,Paulista,12'379,12'411,11'834,12'150,12'160,12'172
251100,2511004,PB,Pedra Branca,3'802,3'802,3'739,3'828,3'846,3'851
251110,2511103,PB,Pedra Lavrada,7'899,7'954,6'859,7'019,6'998,6'980
251120,2511202,PB,Pedras de Fogo,28'533,28'607,29'662,30'932,31'152,31'356
251130,2511301,PB,Piancó,16'111,16'147,16'441,16'944,17'006,17'088
251140,2511400,PB,Picuí,18'720,18'737,18'333,18'797,18'835,18'862
251150,2511509,PB,Pilar,11'977,12'036,12'311,12'707,12'801,12'889
251160,2511608,PB,Pilões,6'576,6'518,6'815,6'964,6'979,6'974
251170,2511707,PB,Pilõezinhos,4'955,4'937,5'329,5'470,5'514,5'539
251180,2511806,PB,Pirpirituba,10'584,10'590,9'340,9'525,9'467,9'411
251190,2511905,PB,Pitimbu,19'275,19'478,16'751,17'172,17'164,17'166
251200,2512002,PB,Pocinhos,18'708,18'848,17'469,17'948,17'990,18'038
251203,2512036,PB,Poço Dantas,3'882,3'877,3'830,3'915,3'932,3'934
251207,2512077,PB,Poço de José de Moura,4'337,4'366,4'006,4'101,4'120,4'126
251210,2512101,PB,Pombal,32'802,32'803,32'473,33'753,33'796,33'866
251220,2512200,PB,Prata,4'238,4'265,3'915,4'006,4'027,4'032
251230,2512309,PB,Princesa Isabel,23'549,23'749,21'114,21'654,21'659,21'674
251240,2512408,PB,Puxinanã,13'741,13'801,14'277,14'713,14'837,14'942
251250,2512507,PB,Queimadas,44'179,44'388,47'658,49'637,50'214,50'698
251260,2512606,PB,Quixaba,1'983,2'009,1'743,1'768,1'798,1'803
251270,2512705,PB,Remígio,19'798,19'973,17'885,18'354,18'373,18'399
251272,2512721,PB,Pedro Régis,6'114,6'139,5'766,5'907,5'925,5'932
251274,2512747,PB,Riachão,3'619,3'650,2'927,2'944,2'964,2'945
251275,2512754,PB,Riachão do Bacamarte,4'541,4'562,4'690,4'830,4'877,4'911
251276,2512762,PB,Riachão do Poço,4'540,4'571,4'738,4'883,4'946,4'989
251278,2512788,PB,Riacho de Santo Antônio,1'974,1'999,1'955,2'000,2'044,2'063
251280,2512804,PB,Riacho dos Cavalos,8'541,8'555,8'493,8'728,8'762,8'788
251290,2512903,PB,Rio Tinto,24'218,24'258,24'581,25'271,25'394,25'500
251300,2513000,PB,Salgadinho,3'931,3'975,3'355,3'425,3'437,3'435
251310,2513109,PB,Salgado de São Félix,12'131,12'123,11'505,11'795,11'760,11'741
251315,2513158,PB,Santa Cecília,6'541,6'526,7'670,7'927,8'031,8'113
251320,2513208,PB,Santa Cruz,6'581,6'579,5'947,6'073,6'041,6'013
251330,2513307,PB,Santa Helena,5'871,5'853,5'865,6'019,6'020,6'023
251335,2513356,PB,Santa Inês,3'593,3'591,3'227,3'271,3'274,3'256
251340,2513406,PB,Santa Luzia,15'426,15'470,14'959,15'360,15'387,15'418
251350,2513505,PB,Santana de Mangueira,5'129,5'098,5'010,5'103,5'106,5'090
251360,2513604,PB,Santana dos Garrotes,6'986,6'942,6'569,6'692,6'657,6'618
251365,2513653,PB,Joca Claudino,2'639,2'640,2'539,2'569,2'606,2'607
251370,2513703,PB,Santa Rita,137'349,138'093,149'910,156'901,159'121,160'852
251380,2513802,PB,Santa Teresinha,4'562,4'550,4'402,4'509,4'499,4'492
251385,2513851,PB,Santo André,2'509,2'496,2'622,2'674,2'702,2'708
251390,2513901,PB,São Bento,34'344,34'650,32'235,33'576,33'700,33'845
251392,2513927,PB,São Bentinho,4'566,4'602,4'327,4'450,4'473,4'490
251394,2513943,PB,São Domingos do Cariri,2'630,2'645,2'585,2'630,2'676,2'688
251396,2513968,PB,São Domingos,3'097,3'119,2'595,2'617,2'636,2'624
251398,2513984,PB,São Francisco,3'384,3'377,3'137,3'179,3'190,3'176
251400,2514008,PB,São João do Cariri,4'184,4'170,4'226,4'316,4'341,4'345
251410,2514107,PB,São João do Tigre,4'415,4'408,4'263,4'343,4'363,4'359
251420,2514206,PB,São José da Lagoa Tapada,7'626,7'622,7'126,7'297,7'270,7'251
251430,2514305,PB,São José de Caiana,6'376,6'394,5'034,5'053,5'032,4'966
251440,2514404,PB,São José de Espinharas,4'656,4'631,4'083,4'122,4'099,4'056
251445,2514453,PB,São José dos Ramos,5'998,6'037,5'891,6'051,6'105,6'137
251450,2514503,PB,São José de Piranhas,20'329,20'406,19'067,19'556,19'552,19'561
251455,2514552,PB,São José de Princesa,3'950,3'898,3'416,3'391,3'383,3'323
251460,2514602,PB,São José do Bonfim,3'588,3'619,3'242,3'296,3'333,3'337
251465,2514651,PB,São José do Brejo do Cruz,1'811,1'821,1'699,1'723,1'748,1'750
251470,2514701,PB,São José do Sabugi,4'147,4'153,4'138,4'249,4'270,4'283
251480,2514800,PB,São José dos Cordeiros,3'618,3'607,3'411,3'458,3'474,3'462
251490,2514909,PB,São Mamede,7'702,7'682,7'470,7'669,7'640,7'629
251500,2515005,PB,São Miguel de Taipu,7'410,7'450,7'066,7'262,7'287,7'307
251510,2515104,PB,São Sebastião de Lagoa de Roça,11'728,11'793,11'040,11'346,11'365,11'387
251520,2515203,PB,São Sebastião do Umbuzeiro,3'512,3'534,3'279,3'332,3'376,3'382
251530,2515302,PB,Sapé,52'804,52'977,51'306,53'151,53'309,53'457
251540,2515401,PB,São Vicente do Seridó,10'848,10'919,10'291,10'577,10'620,10'652
251550,2515500,PB,Serra Branca,13'754,13'807,13'614,14'033,14'075,14'131
251560,2515609,PB,Serra da Raiz,3'131,3'114,3'094,3'137,3'162,3'156
251570,2515708,PB,Serra Grande,2'916,2'921,2'942,3'001,3'043,3'056
251580,2515807,PB,Serra Redonda,7'021,7'001,6'828,6'978,6'984,6'975
251590,2515906,PB,Serraria,6'068,6'037,4'885,4'885,4'839,4'754
